Card Name,Decks avec carte,Decks totaux analysés,% apparition dans les decks,Quantité totale,Présente comme commander dans X decks,Nombre de commanders concernés
"""Lifetime"" Pass Holder",7,25208,0.03%,7,0,1
"""Name Sticker""Goblin",6,25208,0.02%,6,0,1
'Tis But a Scratch!,5,25208,0.02%,5,0,3
+2Mace,4,25208,0.02%,4,0,2
A Killer Among Us,3,25208,0.01%,3,0,2
A Little Chat,1,25208,0.00%,1,0,1
A Realm Reborn,2,25208,0.01%,2,0,2
A Tale for the Ages,2,25208,0.01%,2,0,2
Aarakocra Sneak,9,25208,0.04%,9,0,2
"Aatchik, Emerald Radian",1,25208,0.00%,1,0,1
Abandon the Post,1,25208,0.00%,1,0,1
Abandoned Campground,6,25208,0.02%,6,0,1
Abandoned Outpost,3,25208,0.01%,3,0,1
Abandoned Sarcophagus,5,25208,0.02%,5,0,2
Abbey Griffin,1,25208,0.00%,1,0,0
Abbey Matron,1,25208,0.00%,1,0,1
"Abdel Adrian, Gorion's Ward",58,25208,0.23%,58,0,4
Aberrant,2,25208,0.01%,2,0,1
Aberrant Mind Sorcerer,7,25208,0.03%,7,0,3
Aberrant Researcher,6,25208,0.02%,6,0,2
Abeyance,4,25208,0.02%,4,0,3
Abhorrent Oculus,46,25208,0.18%,46,0,4
Abhorrent Overlord,5,25208,0.02%,5,0,2
Abiding Grace,17,25208,0.07%,17,0,3
Abjure,11,25208,0.04%,11,0,3
Abnormal Endurance,6,25208,0.02%,6,0,3
Aboleth Spawn,2589,25208,10.27%,2589,0,4
Abolish,7,25208,0.03%,7,0,3
Abominable Treefolk,3,25208,0.01%,3,0,2
Abomination,2,25208,0.01%,2,0,1
Abomination of Llanowar,1312,25208,5.20%,1312,0,2
Aboshan's Desire,8,25208,0.03%,8,0,2
"Aboshan, Cephalid Emperor",3,25208,0.01%,3,0,2
Abrade,954,25208,3.78%,954,0,4
Abraded Bluffs,61,25208,0.24%,61,0,3
Abraham Van Helsing,16,25208,0.06%,16,0,1
Abrupt Decay,1203,25208,4.77%,1203,0,2
Absolute Grace,5,25208,0.02%,5,0,2
Absolute Law,3,25208,0.01%,3,0,2
Absolute Virtue,1,25208,0.00%,1,0,1
Absolver Thrull,5,25208,0.02%,5,0,1
Absorb,32,25208,0.13%,32,0,2
Absorb Energy,6,25208,0.02%,6,0,0
Absorb Identity,3,25208,0.01%,3,0,3
Abstergo Entertainment,67,25208,0.27%,67,0,10
Abstruse Appropriation,13,25208,0.05%,13,0,2
Abstruse Archaic,2,25208,0.01%,2,0,2
Abstruse Interference,3,25208,0.01%,3,0,2
Abu Ja'far,3,25208,0.01%,3,0,3
Abuelo's Awakening,3,25208,0.01%,3,0,2
"Abuelo, Ancestral Echo",116,25208,0.46%,116,0,2
Abundance,1000,25208,3.97%,1000,0,6
Abundant Growth,53,25208,0.21%,53,0,6
Abundant Harvest,95,25208,0.38%,95,0,6
Abundant Maw,1,25208,0.00%,1,0,1
Abyssal Gatekeeper,11,25208,0.04%,11,0,1
Abyssal Gorestalker,14,25208,0.06%,14,0,2
Abyssal Harvester,78,25208,0.31%,78,0,3
Abyssal Horror,12,25208,0.05%,12,0,1
Abyssal Nightstalker,1,25208,0.00%,1,0,1
Abyssal Nocturnus,11,25208,0.04%,11,0,1
Abyssal Persecutor,1,25208,0.00%,1,0,1
Abyssal Specter,2,25208,0.01%,2,0,1
Abzan Advantage,5,25208,0.02%,5,0,1
Abzan Battle Priest,265,25208,1.05%,265,0,5
Abzan Beastmaster,4,25208,0.02%,4,0,3
Abzan Falconer,2217,25208,8.79%,2217,0,6
Abzan Kin-Guard,3,25208,0.01%,3,0,2
Abzan Runemark,3,25208,0.01%,3,0,2
Academy Elite,4,25208,0.02%,4,0,2
Academy Loremaster,13,25208,0.05%,13,0,2
Academy Manufactor,49,25208,0.19%,49,0,8
Academy Raider,2,25208,0.01%,2,0,2
Academy Rector,74,25208,0.29%,74,0,6
Academy Ruins,120,25208,0.48%,120,0,5
Academy Wall,16,25208,0.06%,16,0,2
Academy at Tolaria West,1,25208,0.00%,1,0,1
Accelerate,6,25208,0.02%,6,0,2
Access Denied,152,25208,0.60%,152,0,4
Access Tunnel,150,25208,0.60%,150,0,11
Acclaimed Contender,10,25208,0.04%,10,0,3
Accomplished Alchemist,47,25208,0.19%,47,0,5
Accorder Paladin,11,25208,0.04%,11,0,3
Accorder's Shield,14,25208,0.06%,14,0,6
Accumulated Knowledge,2,25208,0.01%,2,0,1
Accursed Duneyard,1,25208,0.00%,1,0,1
Accursed Marauder,33,25208,0.13%,33,0,5
Accursed Witch,3,25208,0.01%,3,0,2
Ace's Baseball Bat,7,25208,0.03%,7,0,2
"Ace, Fearless Rebel",1,25208,0.00%,1,0,1
Acererak the Archlich,9,25208,0.04%,9,0,2
Acid Rain,3,25208,0.01%,3,0,1
Acidic Slime,282,25208,1.12%,282,0,6
Acidic Soil,2,25208,0.01%,2,0,2
"Aclazotz, Deepest Betrayal",10,25208,0.04%,10,0,3
Acolyte Hybrid,1,25208,0.00%,1,0,0
Acolyte of Aclazotz,16,25208,0.06%,16,0,2
Acolyte of Affliction,6,25208,0.02%,6,0,2
Acolyte of Xathrid,1,25208,0.00%,1,0,1
Acolyte's Reward,4,25208,0.02%,4,0,3
Acorn Catapult,3,25208,0.01%,3,0,1
Acorn Harvest,4,25208,0.02%,4,0,2
Acquire,89,25208,0.35%,89,0,3
Acquired Mutation,1,25208,0.00%,1,0,0
Acquisition Octopus,7,25208,0.03%,7,0,3
Acquisitions Expert,2,25208,0.01%,2,0,1
Acrobatic Cheerleader,1,25208,0.00%,1,0,1
Acrobatic Leap,3,25208,0.01%,3,0,3
Acrobatic Maneuver,41,25208,0.16%,41,0,6
Act of Aggression,8,25208,0.03%,8,0,2
Act of Authority,2,25208,0.01%,2,0,2
Act of Heroism,3,25208,0.01%,3,0,2
Act of Treason,77,25208,0.31%,77,0,3
Act on Impulse,5,25208,0.02%,5,0,1
Activated Sleeper,50,25208,0.20%,50,0,2
Active Volcano,7,25208,0.03%,7,0,2
Ad Nauseam,131,25208,0.52%,131,0,5
"Adagia, Windswept Bastion",1,25208,0.00%,1,0,1
Adamant Will,34,25208,0.13%,34,0,6
Adamantium Bonding Tank,66,25208,0.26%,66,0,4
"Adamaro, First to Desire",2,25208,0.01%,2,0,1
Adanto Vanguard,2,25208,0.01%,2,0,1
Adaptive Automaton,469,25208,1.86%,469,0,10
Adaptive Omnitool,10,25208,0.04%,10,0,3
Adaptive Sporesinger,7,25208,0.03%,7,0,2
Adaptive Training Post,7,25208,0.03%,7,0,1
Adarkar Valkyrie,9,25208,0.04%,9,0,4
Adarkar Wastes,572,25208,2.27%,572,0,2
Adder-Staff Boggart,3,25208,0.01%,3,0,1
Addle,1,25208,0.00%,1,0,1
"Adeline, Resplendent Cathar",2544,25208,10.09%,2545,0,4
Admiral's Order,12,25208,0.05%,12,0,3
Admonition Angel,97,25208,0.38%,97,0,5
Adorned Pouncer,2,25208,0.01%,2,0,2
Adrestia,4,25208,0.02%,4,0,1
"Adriana, Captain of the Guard",39,25208,0.15%,39,0,2
"Adric, Mathematical Genius",9,25208,0.04%,9,0,4
"Adrix and Nev,Twincasters",333,25208,1.32%,333,0,3
Adult Gold Dragon,4,25208,0.02%,4,0,1
Advance Scout,3,25208,0.01%,3,0,2
Advanced Stitchwing,16,25208,0.06%,16,0,1
Advent of the Wurm,2,25208,0.01%,2,0,1
Adventure Awaits,11,25208,0.04%,11,0,5
Adventurer's Inn,4,25208,0.02%,4,0,2
Adventurers'Guildhouse,1,25208,0.00%,1,0,1
Adventuring Gear,7,25208,0.03%,7,0,3
Adventurous Impulse,58,25208,0.23%,58,0,5
Aegis Angel,35,25208,0.14%,35,0,5
Aegis Automaton,1,25208,0.00%,1,0,0
Aegis Turtle,8,25208,0.03%,8,0,3
Aegis of Honor,1,25208,0.00%,1,0,1
Aegis of the Gods,35,25208,0.14%,35,0,4
Aegis of the Heavens,1,25208,0.00%,1,0,1
Aegis of the Legion,5,25208,0.02%,5,0,2
Aeon Chronicler,2,25208,0.01%,2,0,1
Aerathi Berserker,1,25208,0.00%,1,0,1
Aerial Assault,3,25208,0.01%,3,0,3
Aerial Extortionist,56,25208,0.22%,56,0,3
Aerial Maneuver,2,25208,0.01%,2,0,1
Aerial Modification,1,25208,0.00%,1,0,1
Aerial Predation,1,25208,0.00%,1,0,1
Aerial Responder,4,25208,0.02%,4,0,3
Aerial Surveyor,1,25208,0.00%,1,0,1
Aerial Volley,2,25208,0.01%,2,0,2
Aerie Auxiliary,5,25208,0.02%,5,0,2
Aerie Mystics,4,25208,0.02%,4,0,1
Aerie Ouphes,3,25208,0.01%,3,0,3
Aerie Worshippers,1,25208,0.00%,1,0,1
Aerith Gainsborough,9,25208,0.04%,9,0,2
Aerith's Curaga Magic,3,25208,0.01%,3,0,2
"Aerith, Last Ancient",1,25208,0.00%,1,0,1
Aeromoeba,1,25208,0.00%,1,0,1
Aeronaut Cavalry,1,25208,0.00%,1,0,1
Aeronaut's Wings,11,25208,0.04%,11,0,6
"Aesi, Tyrant of Gyre Strait",1389,25208,5.51%,1389,0,3
Aether Adept,3,25208,0.01%,3,0,2
Aether Barrier,8,25208,0.03%,8,0,2
Aether Channeler,337,25208,1.34%,337,0,5
Aether Flash,10,25208,0.04%,10,0,2
Aether Gale,230,25208,0.91%,230,0,5
Aether Gust,4,25208,0.02%,4,0,3
Aether Helix,7,25208,0.03%,7,0,1
Aether Herder,1,25208,0.00%,1,0,1
Aether Hub,18,25208,0.07%,18,0,6
Aether Inspector,1,25208,0.00%,1,0,1
Aether Meltdown,1,25208,0.00%,1,0,1
Aether Membrane,3,25208,0.01%,3,0,3
Aether Mutation,6,25208,0.02%,6,0,2
Aether Poisoner,1,25208,0.00%,1,0,1
Aether Snap,5,25208,0.02%,5,0,2
Aether Spellbomb,25,25208,0.10%,25,0,4
Aether Spike,12,25208,0.05%,12,0,2
Aether Sting,1,25208,0.00%,1,0,1
Aether Storm,2,25208,0.01%,2,0,2
Aether Swooper,1,25208,0.00%,1,0,1
Aether Syphon,16,25208,0.06%,16,0,2
Aether Theorist,2,25208,0.01%,2,0,1
Aether Tradewinds,5,25208,0.02%,5,0,1
Aether Tunnel,53,25208,0.21%,53,0,3
Aether Vial,64,25208,0.25%,64,0,11
Aetherblade Agent,4,25208,0.02%,4,0,1
Aetherflame Wall,1,25208,0.00%,1,0,1
Aetherflux Conduit,2,25208,0.01%,2,0,1
Aetherflux Reservoir,293,25208,1.16%,293,0,12
Aethergeode Miner,4,25208,0.02%,4,0,1
Aetheric Amplifier,6,25208,0.02%,6,0,4
Aetherize,1297,25208,5.15%,1297,0,5
Aetherjacket,1,25208,0.00%,1,0,1
Aetherling,2,25208,0.01%,2,0,1
Aethermage's Touch,2,25208,0.01%,2,0,1
Aetherplasm,1,25208,0.00%,1,0,1
Aethersnatch,96,25208,0.38%,96,0,2
Aethersnipe,7,25208,0.03%,7,0,4
Aethersphere Harvester,1,25208,0.00%,1,0,1
Aetherspouts,664,25208,2.63%,664,0,5
Aethersquall Ancient,9,25208,0.04%,9,0,2
Aetherstorm Roc,4,25208,0.02%,4,0,1
Aethertide Whale,4,25208,0.02%,4,0,2
Aetherwind Basker,4,25208,0.02%,4,0,1
Aetherworks Marvel,13,25208,0.05%,13,0,5
Aettir and Priwen,1,25208,0.00%,1,0,1
"Aeve, Progenitor Ooze",7,25208,0.03%,7,0,2
Affa Guard Hound,1,25208,0.00%,1,0,1
Affa Protector,2,25208,0.01%,2,0,1
Affectionate Indrik,1,25208,0.00%,1,0,1
African Swallow,28,25208,0.11%,28,0,4
Afterlife,8,25208,0.03%,8,0,4
Afterlife Insurance,2,25208,0.01%,2,0,1
Afterlife from the Loam,15,25208,0.06%,15,0,2
Aftermath Analyst,81,25208,0.32%,81,0,5
Aftershock,9,25208,0.04%,9,0,2
Agadeem Occultist,1,25208,0.00%,1,0,1
Agadeem's Awakening,660,25208,2.62%,660,0,5
Against All Odds,11,25208,0.04%,11,0,4
Agate Assault,6,25208,0.02%,6,0,2
Agate Instigator,124,25208,0.49%,124,0,3
Agatha's Champion,8,25208,0.03%,8,0,2
Agatha's Soul Cauldron,267,25208,1.06%,267,0,11
Ageless Entity,6,25208,0.02%,6,0,2
Agency Coroner,1,25208,0.00%,1,0,1
Agent of Horizons,1,25208,0.00%,1,0,1
Agent of Treachery,253,25208,1.00%,253,0,5
Agent of the Iron Throne,48,25208,0.19%,48,0,5
Agent of the Shadow Thieves,35,25208,0.14%,35,0,4
Agent's Toolkit,4,25208,0.02%,4,0,1
Aggravated Assault,664,25208,2.63%,664,0,3
Aggressive Biomancy,14,25208,0.06%,14,0,2
Aggressive Instinct,3,25208,0.01%,3,0,3
Aggressive Mammoth,53,25208,0.21%,53,0,4
Aggressive Mining,3,25208,0.01%,3,0,1
Aggressive Negotiations,1,25208,0.00%,1,0,1
Aggressive Urge,5,25208,0.02%,5,0,3
Agility,2,25208,0.01%,2,0,1
Agility Bobblehead,13,25208,0.05%,13,0,4
Agitator Ant,16,25208,0.06%,16,0,3
Agonasaur Rex,21,25208,0.08%,21,0,1
Agonizing Remorse,6,25208,0.02%,6,0,3
Agonizing Syphon,4,25208,0.02%,4,0,2
Agony Warp,5,25208,0.02%,5,0,1
"Agrus Kos, Eternal Soldier",1,25208,0.00%,1,0,1
"Agrus Kos, Spirit of Justice",7,25208,0.03%,7,0,1
"Agrus Kos, Wojek Veteran",13,25208,0.05%,13,0,2
Agyrem,1,25208,0.00%,1,0,1
Ahn-Crop Champion,7,25208,0.03%,7,0,1
Ahn-Crop Crasher,1,25208,0.00%,1,0,0
Aid from the Cowl,28,25208,0.11%,28,0,6
Aid the Fallen,8,25208,0.03%,8,0,3
Aim High,6,25208,0.02%,6,0,3
Ainok Bond-Kin,425,25208,1.69%,425,0,4
Ainok Guide,5,25208,0.02%,5,0,1
Ainok Strike Leader,6,25208,0.02%,6,0,2
Ainok Survivalist,9,25208,0.04%,9,0,2
Ainok Wayfarer,1,25208,0.00%,1,0,1
Air Bladder,1,25208,0.00%,1,0,1
Air Elemental,1,25208,0.00%,1,0,1
Air-Cult Elemental,3,25208,0.01%,3,0,2
Airborne Aid,1,25208,0.00%,1,0,1
Airlift Chaplain,52,25208,0.21%,52,0,2
Airtight Alibi,1,25208,0.00%,1,0,1
Aisha of Sparks and Smoke,2,25208,0.01%,2,0,1
Ajani Goldmane,25,25208,0.10%,25,0,3
Ajani Steadfast,18,25208,0.07%,18,0,5
Ajani Unyielding,24,25208,0.10%,24,0,3
Ajani Vengeant,16,25208,0.06%,16,0,3
Ajani's Aid,2,25208,0.01%,2,0,2
Ajani's Comrade,1,25208,0.00%,1,0,1
Ajani's Influence,1,25208,0.00%,1,0,1
Ajani's Mantra,11,25208,0.04%,11,0,3
Ajani's Presence,8,25208,0.03%,8,0,4
Ajani's Pridemate,13,25208,0.05%,13,0,6
Ajani's Sunstriker,4,25208,0.02%,4,0,1
Ajani's Welcome,86,25208,0.34%,86,0,4
"Ajani, Adversary of Tyrants",24,25208,0.10%,24,0,4
"Ajani, Caller of the Pride",55,25208,0.22%,55,0,4
"Ajani, Inspiring Leader",5,25208,0.02%,5,0,2
"Ajani, Mentor of Heroes",77,25208,0.31%,77,0,2
"Ajani, Nacatl Pariah",14,25208,0.06%,14,0,2
"Ajani, Sleeper Agent",51,25208,0.20%,51,0,3
"Ajani, Strength of the Pride",30,25208,0.12%,30,0,5
"Ajani, Valiant Protector",15,25208,0.06%,15,0,2
"Ajani, Wise Counselor",5,25208,0.02%,5,0,2
"Ajani, the Greathearted",291,25208,1.15%,291,0,3
"Akawalli, the Seething Tower",7,25208,0.03%,7,0,1
"Akim, the Soaring Wind",2,25208,0.01%,2,0,1
"Akiri, Fearless Voyager",300,25208,1.19%,300,0,2
"Akiri,Line-Slinger",6,25208,0.02%,6,0,2
Akki Avalanchers,1,25208,0.00%,1,0,1
Akki Battle Squad,48,25208,0.19%,48,0,3
Akki Blizzard-Herder,6,25208,0.02%,6,0,2
Akki Coalflinger,30,25208,0.12%,30,0,2
Akki Drillmaster,16,25208,0.06%,16,0,1
Akki Ember-Keeper,6,25208,0.02%,6,0,1
Akki Lavarunner,16,25208,0.06%,16,0,1
Akki Rockspeaker,6,25208,0.02%,6,0,1
Akki Ronin,21,25208,0.08%,21,0,2
Akki Scrapchomper,24,25208,0.10%,24,0,3
Akki Underling,2,25208,0.01%,2,0,1
Akki Underminer,9,25208,0.04%,9,0,2
Akki War Paint,6,25208,0.02%,6,0,3
Akoum,1,25208,0.00%,1,0,1
Akoum Firebird,1,25208,0.00%,1,0,1
Akoum Hellhound,7,25208,0.03%,7,0,1
Akoum Hellkite,16,25208,0.06%,16,0,3
Akoum Refuge,71,25208,0.28%,71,0,1
Akoum Warrior,10,25208,0.04%,10,0,3
Akrasan Squire,5,25208,0.02%,5,0,2
Akroan Conscriptor,1,25208,0.00%,1,0,1
Akroan Crusader,1,25208,0.00%,1,0,1
Akroan Hoplite,4,25208,0.02%,4,0,2
Akroan Horse,169,25208,0.67%,169,0,3
Akroan Jailer,4,25208,0.02%,4,0,1
Akroan Mastiff,1,25208,0.00%,1,0,1
Akroan Skyguard,2,25208,0.01%,2,0,2
Akroma's Blessing,9,25208,0.04%,9,0,4
Akroma's Devoted,54,25208,0.21%,54,0,2
Akroma's Memorial,316,25208,1.25%,316,0,11
Akroma's Vengeance,92,25208,0.36%,92,0,6
Akroma's Will,1984,25208,7.87%,1984,0,6
"Akroma, Angel of Fury",4,25208,0.02%,4,0,1
"Akroma, Angel of Wrath",11,25208,0.04%,11,0,5
"Akroma, Vision of Ixidor",11,25208,0.04%,11,0,5
"Akuta, Born of Ash",1,25208,0.00%,1,0,1
Alabaster Host Intercessor,59,25208,0.23%,59,0,1
Alabaster Host Sanctifier,3,25208,0.01%,3,0,1
Alabaster Kirin,1,25208,0.00%,1,0,1
Alabaster Mage,8,25208,0.03%,8,0,2
Alabaster Potion,2,25208,0.01%,2,0,2
Alaborn Cavalier,3,25208,0.01%,3,0,2
Alaborn Grenadier,1,25208,0.00%,1,0,0
Alaborn Musketeer,2,25208,0.01%,2,0,1
Alaborn Zealot,2,25208,0.01%,2,0,1
Aladdin,1,25208,0.00%,1,0,1
"Alandra, Sky Dreamer",959,25208,3.80%,959,0,3
Alania's Pathmaker,3,25208,0.01%,3,0,1
Alaundo the Seer,10,25208,0.04%,10,0,2
Alchemist's Apprentice,2,25208,0.01%,2,0,2
Alchemist's Gambit,1,25208,0.00%,1,0,1
Alchemist's Gift,4,25208,0.02%,4,0,4
Alchemist's Refuge,497,25208,1.97%,497,0,3
Alchemist's Retrieval,125,25208,0.50%,125,0,5
Alchemist's Vial,4,25208,0.02%,4,0,2
"Alela, Cunning Conqueror",12,25208,0.05%,12,0,1
"Alena, Kessig Trapper",3,25208,0.01%,3,0,2
Alert Heedbonder,14,25208,0.06%,14,0,2
Alesha's Legacy,1,25208,0.00%,1,0,1
Alesha's Vanguard,14,25208,0.06%,14,0,1
"Alesha, Who Laughs at Fate",13,25208,0.05%,13,0,1
"Alesha, Who Smiles at Death",36,25208,0.14%,36,0,1
Alexi's Cloak,11,25208,0.04%,11,0,4
"Alexi, Zephyr Mage",1,25208,0.00%,1,0,1
"Alexios, Deimos of Kosmos",18,25208,0.07%,18,0,3
Alhammarret's Archive,326,25208,1.29%,326,0,10
"Alharu, Solemn Ritualist",38,25208,0.15%,38,0,3
Aliban's Tower,2,25208,0.01%,2,0,1
Aligned Hedron Network,4,25208,0.02%,4,0,2
"Alistair, the Brigadier",10,25208,0.04%,10,0,1
Alive //Well,2,25208,0.01%,2,0,2
All Is Dust,43,25208,0.17%,43,0,9
All Suns'Dawn,1,25208,0.00%,1,0,1
All That Glitters,112,25208,0.44%,112,0,4
All Will Be One,3,25208,0.01%,3,0,2
All-Out Assault,10,25208,0.04%,10,0,1
All-Seeing Arbiter,9,25208,0.04%,9,0,4
Allay,5,25208,0.02%,5,0,3
Alley Evasion,5,25208,0.02%,5,0,4
Alliance of Arms,5,25208,0.02%,5,0,1
Allied Reinforcements,2,25208,0.01%,2,0,1
Allied Strategies,1,25208,0.00%,1,0,1
Allosaurus Rider,19,25208,0.08%,19,0,5
Allosaurus Shepherd,2257,25208,8.95%,2257,0,6
Alloy Animist,2,25208,0.01%,2,0,2
Alloy Myr,7,25208,0.03%,7,0,6
Allure of the Unknown,1,25208,0.00%,1,0,0
Alluring Scent,1,25208,0.00%,1,0,1
Ally Encampment,1,25208,0.00%,1,0,1
Almighty Brushwagg,2,25208,0.01%,2,0,2
Almost Perfect,4,25208,0.02%,4,0,1
Alms Collector,186,25208,0.74%,186,0,6
Alms of the Vein,1,25208,0.00%,1,0,1
Aloe Alchemist,1,25208,0.00%,1,0,1
"Alora, Merry Thief",8,25208,0.03%,8,0,3
Alpha Authority,654,25208,2.59%,654,0,5
Alpha Brawl,3,25208,0.01%,3,0,2
Alpha Deathclaw,1,25208,0.00%,1,0,1
Alpha Status,579,25208,2.30%,580,0,5
"Alpharael,Stonechosen",2,25208,0.01%,2,0,1
Alpine Guide,3,25208,0.01%,3,0,2
Alpine Houndmaster,1,25208,0.00%,1,0,1
Alpine Meadow,180,25208,0.71%,180,0,3
Alpine Moon,1,25208,0.00%,1,0,0
Alpine Watchdog,3,25208,0.01%,3,0,2
"Alquist Proft, Master Sleuth",5,25208,0.02%,5,0,1
Alrund's Epiphany,236,25208,0.94%,236,0,4
"Alrund, God of the Cosmos",4,25208,0.02%,4,0,2
Alseid of Life's Bounty,15,25208,0.06%,15,0,4
"Altanak, the Thrice-Called",1,25208,0.00%,1,0,1
Altar Golem,2,25208,0.01%,2,0,2
Altar of Bhaal // Bone Offering,31,25208,0.12%,31,0,4
Altar of Bone,17,25208,0.07%,17,0,3
Altar of Dementia,708,25208,2.81%,708,0,11
Altar of the Brood,1434,25208,5.69%,1434,0,10
Altar of the Goyf,5,25208,0.02%,5,0,2
Altar of the Lost,1,25208,0.00%,1,0,1
Altar of the Pantheon,40,25208,0.16%,40,0,6
Altar of the Wretched,22,25208,0.09%,22,0,3
Altar's Light,2,25208,0.01%,2,0,1
Altar's Reap,94,25208,0.37%,94,0,5
Altaïr Ibn-La'Ahad,1,25208,0.00%,1,0,1
"Altaïr, Brotherhood Mentor",1,25208,0.00%,1,0,1
Alter Reality,2,25208,0.01%,2,0,1
Altered Ego,8,25208,0.03%,8,0,3
Aluren,60,25208,0.24%,60,0,5
Always Watching,68,25208,0.27%,68,0,5
Amaranthine Wall,1,25208,0.00%,1,0,1
"Amareth, the Lustrous",16,25208,0.06%,16,0,2
Amass the Components,4,25208,0.02%,4,0,4
Ambassador Laquatus,2,25208,0.01%,2,0,2
Ambassador Oak,6,25208,0.02%,6,0,1
Amber Gristle O'Maul,1,25208,0.00%,1,0,1
Ambition's Cost,358,25208,1.42%,358,0,5
Ambitious Aetherborn,1,25208,0.00%,1,0,1
Ambitious Assault,17,25208,0.07%,17,0,2
Ambitious Dragonborn,2,25208,0.01%,2,0,2
Ambitious Farmhand,139,25208,0.55%,139,0,4
Ambling Stormshell,2,25208,0.01%,2,0,1
Ambrosia Whiteheart,1,25208,0.00%,1,0,1
Ambuscade,3,25208,0.01%,3,0,2
Ambuscade Shaman,36,25208,0.14%,36,0,1
Ambush,2,25208,0.01%,2,0,1
Ambush Commander,92,25208,0.36%,92,0,3
Ambush Paratrooper,9,25208,0.04%,9,0,1
Ambush Party,1,25208,0.00%,1,0,1
Ambush Viper,11,25208,0.04%,11,0,3
Aminatou's Augury,193,25208,0.77%,193,0,5
Amnesia,1,25208,0.00%,1,0,1
Amoeboid Changeling,28,25208,0.11%,28,0,3
Amonkhet Raceway,81,25208,0.32%,81,0,11
Amorphous Axe,13,25208,0.05%,13,0,4
Amped Raptor,1,25208,0.00%,1,0,1
Amphibian Downpour,188,25208,0.75%,188,0,5
Amphin Mutineer,79,25208,0.31%,79,0,5
Amphin Pathmage,2,25208,0.01%,2,0,2
Ampryn Tactician,3,25208,0.01%,3,0,1
Amrou Kithkin,1,25208,0.00%,1,0,1
Amulet of Safekeeping,1,25208,0.00%,1,0,0
Amulet of Vigor,764,25208,3.03%,764,0,9
"Amunet, Tyrants'End",2,25208,0.01%,2,0,1
"Amzu, Swarm's Hunger",1,25208,0.00%,1,0,1
An Offer You Can't Refuse,3284,25208,13.03%,3284,0,5
An-Zerrin Ruins,1,25208,0.00%,1,0,1
Ana Battlemage,2,25208,0.01%,2,0,1
Anaba Spirit Crafter,1,25208,0.00%,1,0,1
"Anafenza, Kin-Tree Spirit",25,25208,0.10%,25,0,5
"Anafenza, Unyielding Lineage",3,25208,0.01%,3,0,1
Analyze the Pollen,20,25208,0.08%,20,0,6
