name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons,section
Animate Dead,0.7023,2.0,{1}{B},Enchantment — Aura,224,etb_synergy|graveyard_synergy|enchantment_synergy|recursion|voltron_only,0.6499,1.0,0.2,0.7988,0.85,1.0,0.75,"Rôles utiles pour la stratégie : graveyard_synergy, recursion | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 224) | Mana value cohérente (2.0)",add
Port of Karfell,0.6962,0,,Land,3768,ramp|graveyard_synergy|recursion,0.8386,1.0,0.2,0.8028,0.4,0.75,0.6812,"Rôles utiles pour la stratégie : graveyard_synergy, ramp, recursion | Bonne présence dans les decklists similaires",add
"Syr Konrad, the Grim",0.6926,5.0,{3}{B}{B},Legendary Creature — Human Knight,252,tribal_synergy|graveyard_synergy,0.7793,0.75,0.3,0.8333,0.85,0.8,0.8146,Rôles utiles pour la stratégie : graveyard_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 252) | Mana value cohérente (5.0),add
Bojuka Bog,0.6866,0,,Land,25,ramp|etb_synergy|graveyard_synergy,0.6909,1.0,0.05,0.7517,1.0,0.75,0.93,"Rôles utiles pour la stratégie : graveyard_synergy, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 25)",add
Ruin Crab,0.6828,1.0,{U},Creature — Crab,1304,etb_synergy|graveyard_synergy|landfall,0.857,0.75,0.3,0.7902,0.65,0.75,0.7535,Rôles utiles pour la stratégie : graveyard_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 1304),add
Thought Vessel,0.6672,2.0,{2},Artifact,21,ramp|artifact_synergy,0.874,0.75,0.0,0.7412,1.0,1.0,1.0,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 21) | Mana value cohérente (2.0),add
Drownyard Temple,0.6666,0,,Land,1977,graveyard_synergy|recursion,0.7488,1.0,0.05,0.7861,0.65,0.75,0.6994,"Rôles utiles pour la stratégie : graveyard_synergy, recursion | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 1977)",add
"Takenuma, Abandoned Mire",0.6636,0,,Legendary Land,241,ramp|graveyard_synergy|recursion,0.5676,1.0,0.15,0.791,0.85,0.75,0.7797,"Rôles utiles pour la stratégie : graveyard_synergy, ramp, recursion | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 241)",add
Commander's Sphere,0.6624,3.0,{3},Artifact,45,ramp|card_draw|artifact_synergy,0.5524,1.0,0.05,0.7815,1.0,1.0,0.8538,"Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 45) | Mana value cohérente (3.0)",add
Hunted Horror,0.646,2.0,{B}{B},Creature — Horror,4466,etb_synergy|token_generation|protection,0.9049,0.75,0.15,0.7859,0.4,1.0,0.7177,Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Mana value cohérente (2.0),add
Bruvac the Grandiloquent,0.6419,3.0,{2}{U},Legendary Creature — Human Advisor,2142,tribal_synergy|graveyard_synergy,0.7842,0.75,0.3,0.7768,0.4,1.0,0.5921,Rôles utiles pour la stratégie : graveyard_synergy | Bonne présence dans les decklists similaires | Mana value cohérente (3.0),add
Solemn Simulacrum,0.6416,4.0,{4},Artifact Creature — Golem,38,ramp|card_draw|etb_synergy|artifact_synergy|tutor,0.385,1.0,0.2,0.7741,1.0,0.8,0.7618,"Rôles utiles pour la stratégie : ramp, card_draw | Très bien classé EDHREC (rank 38) | Mana value cohérente (4.0)",add
Watery Grave,0.6377,0,,Land — Island Swamp,52,ramp|etb_synergy,0.7961,0.75,0.0,0.7265,1.0,0.75,0.9878,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 52),add
Rhystic Study,0.6374,3.0,{2}{U},Enchantment,41,card_draw|enchantment_synergy,0.678,0.75,0.1,0.7464,1.0,1.0,0.9229,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 41) | Mana value cohérente (3.0),add
Fellwar Stone,0.6373,2.0,{2},Artifact,18,ramp|artifact_synergy,0.7172,0.75,0.05,0.7444,1.0,1.0,0.9444,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 18) | Mana value cohérente (2.0),add
Polluted Delta,0.6372,0,,Land,37,ramp|tutor,0.6985,0.75,0.1,0.7595,1.0,0.75,0.9342,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 37),add
Swiftfoot Boots,0.6367,2.0,{2},Artifact — Equipment,12,protection|artifact_synergy|voltron_only,0.6869,0.75,0.1,0.7262,1.0,1.0,0.9278,Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 12) | Mana value cohérente (2.0),add
Terisian Mindbreaker,0.6333,7.0,{7},Artifact Creature — Juggernaut,4585,graveyard_synergy|artifact_synergy|recursion,0.5958,1.0,0.3,0.7789,0.4,0.25,0.4979,"Rôles utiles pour la stratégie : graveyard_synergy, recursion | Bonne présence dans les decklists similaires",add
"Realmbreaker, the Invasion Tree",0.6328,3.0,{3},Legendary Artifact,3961,ramp|graveyard_synergy|artifact_synergy|tutor,0.5362,1.0,0.25,0.7896,0.4,1.0,0.5149,"Rôles utiles pour la stratégie : graveyard_synergy, ramp | Bonne présence dans les decklists similaires | Mana value cohérente (3.0)",add
"Toxrill, the Corrosive",0.631,7.0,{5}{B}{B},Legendary Creature — Slug Horror,2317,card_draw|token_generation|sacrifice_synergy,0.8335,0.75,0.25,0.7572,0.4,0.6,0.6784,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires,add
