name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons
Arcane Denial,0.8036,2.0,{1}{U},Instant,56,card_draw|counterspell,0.8238,1.0,0.408,0.7733,1.0,1.0,1.0,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 56) | Mana value cohérente (2.0)"
An Offer You Can't Refuse,0.7875,1.0,{U},Instant,35,ramp|token_generation|counterspell,0.8316,1.0,0.358,0.7698,1.0,0.75,1.0,"Rôles utiles pour la stratégie : ramp, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 35)"
Mystic Confluence,0.7695,5.0,{3}{U}{U},Instant,1422,card_draw|counterspell,0.8461,1.0,0.428,0.7791,0.65,0.8,0.8229,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1422) | Mana value cohérente (5.0)"
Cryptic Command,0.7694,4.0,{1}{U}{U}{U},Instant,1654,card_draw|counterspell,0.8354,1.0,0.428,0.7975,0.65,0.8,0.817,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1654) | Mana value cohérente (4.0)"
Counterspell,0.7607,2.0,{U}{U},Instant,16,counterspell,0.9392,0.75,0.358,0.7786,1.0,1.0,1.0,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 16) | Mana value cohérente (2.0)
Three Steps Ahead,0.7477,1.0,{U},Instant,1101,ramp|card_draw|token_generation|counterspell|artifact_synergy,0.7872,1.0,0.408,0.7729,0.65,0.75,0.7905,"Rôles utiles pour la stratégie : ramp, card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1101)"
Swan Song,0.7357,1.0,{U},Instant,74,token_generation|counterspell,0.7511,0.75,0.528,0.7538,1.0,0.75,0.9631,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 74)
Archmage's Charm,0.735,3.0,{U}{U}{U},Instant,1768,counterspell,0.8887,0.75,0.478,0.7853,0.65,1.0,0.8463,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1768) | Mana value cohérente (3.0)
Mystic Sanctuary,0.7304,0,,Land — Island,172,ramp,0.9484,0.75,0.32,0.7633,0.85,0.75,0.9891,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 172)
Fierce Guardianship,0.7288,3.0,{2}{U},Instant,79,counterspell,0.7168,0.75,0.478,0.7843,1.0,1.0,0.9442,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 79) | Mana value cohérente (3.0)
