name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons,section
Rumor Gatherer,0.7768,3.0,{1}{W}{W},Creature — Elf Wizard,1438,card_draw|etb_synergy|tribal_synergy,0.72,1.0,0.57,0.8179,0.65,1.0,0.7535,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1438) | Mana value cohérente (3.0)",add
Guardian Project,0.7736,4.0,{3}{G},Enchantment,307,card_draw|etb_synergy|enchantment_synergy,0.6876,1.0,0.52,0.8116,0.85,0.8,0.8457,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 307) | Mana value cohérente (4.0)",add
Temple Garden,0.7701,0,,Land — Forest Plains,82,ramp|etb_synergy,0.8563,1.0,0.25,0.7566,1.0,0.75,1.0,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 82)",add
Breeding Pool,0.7695,0,,Land — Forest Island,63,ramp|etb_synergy,0.8538,1.0,0.25,0.7571,1.0,0.75,1.0,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 63)",add
Hallowed Fountain,0.7663,0,,Land — Plains Island,65,ramp|etb_synergy,0.8462,1.0,0.25,0.7483,1.0,0.75,1.0,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 65)",add
Swan Song,0.7639,1.0,{U},Instant,74,token_generation|counterspell,0.7849,1.0,0.3,0.7703,1.0,0.75,0.9817,"Rôles utiles pour la stratégie : token_generation, counterspell | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation | Très bien classé EDHREC (rank 74)",add
Tribute to the World Tree,0.7598,3.0,{G}{G}{G},Enchantment,589,card_draw|etb_synergy|counter_synergy|enchantment_synergy,0.653,1.0,0.59,0.7945,0.65,1.0,0.7167,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 589) | Mana value cohérente (3.0)",add
The Great Henge,0.7591,9.0,{7}{G}{G},Legendary Artifact,237,ramp|card_draw|etb_synergy|counter_synergy|lifegain|artifact_synergy,0.6077,1.0,0.59,0.8007,0.85,0.6,0.8017,"Rôles utiles pour la stratégie : card_draw, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 237)",add
Kindred Discovery,0.7585,5.0,{3}{U}{U},Enchantment,347,card_draw|etb_synergy|enchantment_synergy,0.6021,1.0,0.57,0.7932,0.85,0.8,0.7987,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 347) | Mana value cohérente (5.0)",add
Inspiring Call,0.7551,3.0,{2}{G},Instant,272,card_draw|counter_synergy|protection,0.731,1.0,0.34,0.8133,0.85,1.0,0.8695,"Rôles utiles pour la stratégie : card_draw, protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 272) | Mana value cohérente (3.0)",add
The One Ring,0.7546,4.0,{4},Legendary Artifact,88,card_draw|etb_synergy|protection|lifegain|artifact_synergy,0.6131,1.0,0.47,0.7707,1.0,0.8,0.8872,"Rôles utiles pour la stratégie : card_draw, etb_synergy, protection | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 88) | Mana value cohérente (4.0)",add
Galadhrim Brigade,0.7456,3.0,{2}{G},Creature — Elf Soldier,3700,ramp|etb_synergy|token_generation|tribal_synergy,0.8301,1.0,0.42,0.8037,0.4,1.0,0.6766,"Rôles utiles pour la stratégie : token_generation, etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation, etb_synergy | Mana value cohérente (3.0)",add
Farhaven Elf,0.7423,3.0,{2}{G},Creature — Elf Druid,1392,ramp|etb_synergy|tribal_synergy|tutor,0.7352,1.0,0.42,0.7616,0.65,1.0,0.7619,"Rôles utiles pour la stratégie : tutor, etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1392) | Mana value cohérente (3.0)",add
Vanquisher's Banner,0.7363,5.0,{5},Artifact,350,card_draw|etb_synergy|artifact_synergy,0.4998,1.0,0.59,0.7967,0.85,0.8,0.7424,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 350) | Mana value cohérente (5.0)",add
