name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons,section
Champion of the Parish,0.7719,1.0,{W},Creature — Human Soldier,5251,etb_synergy|counter_synergy|tribal_synergy,0.8383,1.0,0.59,0.7966,0.4,0.75,0.6191,"Rôles utiles pour la stratégie : counter_synergy, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy",add
"Maja, Bretagard Protector",0.7587,5.0,{2}{G}{W}{W},Legendary Creature — Human Warrior,3187,etb_synergy|token_generation|anthem|tribal_synergy|landfall,0.8882,1.0,0.47,0.7629,0.4,0.8,0.7085,"Rôles utiles pour la stratégie : anthem, token_generation, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation, etb_synergy | Mana value cohérente (5.0)",add
Temple of Plenty,0.7578,0,,Land,478,ramp|etb_synergy,0.8776,1.0,0.25,0.7457,0.85,0.75,0.9502,"Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 478)",add
Garruk's Uprising,0.7547,3.0,{2}{G},Enchantment,92,card_draw|etb_synergy|enchantment_synergy,0.6701,1.0,0.35,0.7921,1.0,1.0,0.9186,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 92) | Mana value cohérente (3.0)",add
Temple Garden,0.7521,0,,Land — Forest Plains,82,ramp|etb_synergy,0.7997,1.0,0.25,0.7328,1.0,0.75,0.9898,"Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 82)",add
Juniper Order Ranger,0.7518,5.0,{3}{G}{W},Creature — Human Knight Ranger,7506,etb_synergy|counter_synergy|tribal_synergy,0.7872,1.0,0.54,0.8073,0.4,0.8,0.5936,"Rôles utiles pour la stratégie : counter_synergy, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Mana value cohérente (5.0)",add
Horn of Gondor,0.7501,3.0,{3},Legendary Artifact,1913,etb_synergy|token_generation|tribal_synergy|artifact_synergy,0.814,1.0,0.35,0.7699,0.65,1.0,0.8052,"Rôles utiles pour la stratégie : token_generation, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation, etb_synergy | Très bien classé EDHREC (rank 1913) | Mana value cohérente (3.0)",add
Slippery Bogbonder,0.7422,4.0,{3}{G},Creature — Human Druid,3683,etb_synergy|protection|tribal_synergy,0.812,1.0,0.49,0.759,0.4,0.8,0.6666,"Rôles utiles pour la stratégie : protection, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Mana value cohérente (4.0)",add
Castle Ardenvale,0.7394,0,,Land,684,ramp|token_generation|tribal_synergy,0.8582,1.0,0.3,0.7385,0.65,0.75,0.8295,"Rôles utiles pour la stratégie : ramp, token_generation | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation | Très bien classé EDHREC (rank 684)",add
Guardian Project,0.7377,4.0,{3}{G},Enchantment,307,card_draw|etb_synergy|enchantment_synergy,0.707,1.0,0.35,0.7657,0.85,0.8,0.8564,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 307) | Mana value cohérente (4.0)",add
The Great Henge,0.7367,9.0,{7}{G}{G},Legendary Artifact,237,ramp|card_draw|etb_synergy|counter_synergy|lifegain|artifact_synergy,0.6243,1.0,0.49,0.7557,0.85,0.6,0.8109,"Rôles utiles pour la stratégie : ramp, card_draw, counter_synergy, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 237)",add
Vanquisher's Banner,0.7318,5.0,{5},Artifact,350,card_draw|etb_synergy|artifact_synergy,0.6717,1.0,0.37,0.7609,0.85,0.8,0.8369,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 350) | Mana value cohérente (5.0)",add
Felidar Retreat,0.7203,4.0,{3}{W},Enchantment,482,etb_synergy|token_generation|counter_synergy|landfall|enchantment_synergy,0.4969,1.0,0.54,0.7614,0.85,0.8,0.7408,"Rôles utiles pour la stratégie : counter_synergy, token_generation, etb_synergy | Bonne synergie avec le texte du commandant | Synergise avec les ETB : token_generation, etb_synergy | Très bien classé EDHREC (rank 482) | Mana value cohérente (4.0)",add
Smothering Tithe,0.7194,4.0,{3}{W},Enchantment,60,ramp|token_generation|artifact_synergy|enchantment_synergy,0.6167,1.0,0.3,0.7564,1.0,0.8,0.8892,"Rôles utiles pour la stratégie : ramp, token_generation | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation | Très bien classé EDHREC (rank 60) | Mana value cohérente (4.0)",add
Bastion Protector,0.7187,3.0,{2}{W},Creature — Human Soldier,974,protection|anthem|tribal_synergy,0.9236,1.0,0.05,0.7698,0.65,1.0,0.8655,"Rôles utiles pour la stratégie : anthem, protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 974) | Mana value cohérente (3.0)",add
Gavony Township,0.718,0,,Land,955,ramp|counter_synergy,0.8448,1.0,0.19,0.7659,0.65,0.75,0.8221,"Rôles utiles pour la stratégie : ramp, counter_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 955)",add
Tribute to the World Tree,0.7175,3.0,{G}{G}{G},Enchantment,589,card_draw|etb_synergy|counter_synergy|enchantment_synergy,0.5827,1.0,0.49,0.7687,0.65,1.0,0.678,"Rôles utiles pour la stratégie : counter_synergy, card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 589) | Mana value cohérente (3.0)",add
Gyre Sage,0.7165,2.0,{1}{G},Creature — Elf Druid,828,ramp|etb_synergy|counter_synergy|tribal_synergy,0.5261,1.0,0.54,0.7933,0.65,1.0,0.6469,"Rôles utiles pour la stratégie : ramp, counter_synergy, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 828) | Mana value cohérente (2.0)",add
Citadel Siege,0.7149,4.0,{2}{W}{W},Enchantment,5032,etb_synergy|counter_synergy|tribal_synergy|enchantment_synergy,0.7325,1.0,0.44,0.79,0.4,0.8,0.5662,"Rôles utiles pour la stratégie : counter_synergy, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Mana value cohérente (4.0)",add
Loran of the Third Path,0.7062,3.0,{2}{W},Legendary Creature — Human Artificer,353,card_draw|etb_synergy|tribal_synergy,0.6023,1.0,0.3,0.7645,0.85,1.0,0.7988,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 353) | Mana value cohérente (3.0)",add
