name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons,section
Wolverine Riders,0.7673,6.0,{4}{G}{G},Creature — Elf Warrior,2876,etb_synergy|token_generation|tribal_synergy|lifegain,0.8798,1.0,0.52,0.8282,0.4,0.5,0.7039,"Rôles utiles pour la stratégie : token_generation, lifegain | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Cree des tokens",add
Deathrite Shaman,0.7317,1.0,{B/G},Creature — Elf Shaman,590,ramp|targeted_removal|tribal_synergy|graveyard_synergy|lifegain,0.7978,1.0,0.3,0.7923,0.65,0.75,0.7963,"Rôles utiles pour la stratégie : graveyard_synergy, ramp, lifegain | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 590)",add
Galadhrim Brigade,0.7281,3.0,{2}{G},Creature — Elf Soldier,3700,ramp|etb_synergy|token_generation|tribal_synergy,0.6759,1.0,0.52,0.8221,0.4,1.0,0.5918,"Rôles utiles pour la stratégie : token_generation, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Cree des tokens | Mana value cohérente (3.0)",add
Skemfar Elderhall,0.7218,0,,Land,9897,ramp|token_generation|tribal_synergy,0.7227,1.0,0.47,0.8154,0.4,0.75,0.6175,"Rôles utiles pour la stratégie : token_generation, ramp | Bonne présence dans les decklists similaires | Cree des tokens",add
Elven Ambush,0.7191,4.0,{3}{G},Instant,2800,token_generation|tribal_synergy,0.9339,0.75,0.47,0.8365,0.4,0.8,0.7336,Rôles utiles pour la stratégie : token_generation | Bonne présence dans les decklists similaires | Cree des tokens | Mana value cohérente (4.0),add
Shamanic Revelation,0.7152,5.0,{3}{G}{G},Sorcery,370,card_draw|lifegain,0.7759,1.0,0.15,0.762,0.85,0.8,0.8942,"Rôles utiles pour la stratégie : card_draw, lifegain | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 370) | Mana value cohérente (5.0)",add
Staff of Domination,0.7052,3.0,{3},Artifact,1043,card_draw|lifegain|artifact_synergy,0.7749,1.0,0.15,0.8051,0.65,1.0,0.7837,"Rôles utiles pour la stratégie : card_draw, lifegain | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 1043) | Mana value cohérente (3.0)",add
"Freyalise, Llanowar's Fury",0.7003,5.0,{3}{G}{G},Legendary Planeswalker — Freyalise,2678,ramp|card_draw|token_generation|targeted_removal|tribal_synergy|artifact_synergy|enchantment_synergy,0.7189,1.0,0.37,0.802,0.4,0.8,0.6154,"Rôles utiles pour la stratégie : token_generation, ramp, card_draw | Bonne présence dans les decklists similaires | Cree des tokens | Mana value cohérente (5.0)",add
Llanowar Elves,0.7002,1.0,{G},Creature — Elf Druid,62,ramp|tribal_synergy,0.9636,0.75,0.05,0.7953,1.0,0.75,1.0,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 62),add
Moldervine Reclamation,0.6992,5.0,{3}{B}{G},Enchantment,958,card_draw|lifegain|enchantment_synergy,0.7475,1.0,0.2,0.7863,0.65,0.8,0.7686,"Rôles utiles pour la stratégie : card_draw, lifegain | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 958) | Mana value cohérente (5.0)",add
"Toski, Bearer of Secrets",0.6968,4.0,{3}{G},Legendary Creature — Squirrel,381,card_draw|protection,0.5798,1.0,0.3,0.781,0.85,0.8,0.7864,"Rôles utiles pour la stratégie : protection, card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 381) | Mana value cohérente (4.0)",add
Elvish Promenade,0.6967,4.0,{3}{G},Kindred Sorcery — Elf,3089,token_generation|tribal_synergy,0.9034,0.75,0.42,0.8069,0.4,0.8,0.7169,Rôles utiles pour la stratégie : token_generation | Bonne présence dans les decklists similaires | Cree des tokens | Mana value cohérente (4.0),add
Elvish Dreadlord,0.695,5.0,{3}{B}{B},Creature — Zombie Elf,12160,token_generation|tribal_synergy|graveyard_synergy,0.6664,1.0,0.52,0.8057,0.2,0.8,0.4765,"Rôles utiles pour la stratégie : graveyard_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Cree des tokens | Mana value cohérente (5.0)",add
Heroic Intervention,0.6913,2.0,{1}{G},Instant,31,protection,0.8898,0.75,0.1,0.7425,1.0,1.0,1.0,Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 31) | Mana value cohérente (2.0),add
The Great Henge,0.6823,9.0,{7}{G}{G},Legendary Artifact,237,ramp|card_draw|etb_synergy|counter_synergy|lifegain|artifact_synergy,0.5354,1.0,0.32,0.7745,0.85,0.6,0.762,"Rôles utiles pour la stratégie : ramp, card_draw, lifegain | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 237)",add
Bojuka Bog,0.6814,0,,Land,25,ramp|etb_synergy|graveyard_synergy,0.7202,1.0,0.0,0.7328,1.0,0.75,0.9461,"Rôles utiles pour la stratégie : graveyard_synergy, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 25)",add
Black Market Connections,0.6798,3.0,{2}{B},Enchantment,133,card_draw|token_generation|tribal_synergy|enchantment_synergy,0.3984,1.0,0.42,0.7833,0.85,1.0,0.6866,"Rôles utiles pour la stratégie : token_generation, card_draw | Cree des tokens | Très bien classé EDHREC (rank 133) | Mana value cohérente (3.0)",add
Tireless Provisioner,0.6786,3.0,{2}{G},Creature — Elf Scout,180,ramp|etb_synergy|token_generation|tribal_synergy|lifegain|landfall|artifact_synergy,0.3497,1.0,0.47,0.7934,0.85,1.0,0.6598,"Rôles utiles pour la stratégie : token_generation, ramp, lifegain | Cree des tokens | Très bien classé EDHREC (rank 180) | Mana value cohérente (3.0)",add
Elves of Deep Shadow,0.6746,1.0,{G},Creature — Elf Druid,723,ramp|tribal_synergy,0.8917,0.75,0.2,0.7983,0.65,0.75,0.8479,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 723),add
Parallel Lives,0.6732,4.0,{3}{G},Enchantment,409,token_generation|enchantment_synergy,0.6413,0.75,0.42,0.773,0.85,0.8,0.8202,Rôles utiles pour la stratégie : token_generation | Bonne présence dans les decklists similaires | Cree des tokens | Très bien classé EDHREC (rank 409) | Mana value cohérente (4.0),add
