name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons,section
Victimize,0.7502,3.0,{2}{B},Sorcery,127,graveyard_synergy|sacrifice_synergy|recursion,0.8062,1.0,0.24,0.7939,0.85,1.0,0.8281,"Rôles utiles pour la stratégie : graveyard_synergy, recursion, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy, recursion, graveyard_synergy | Très bien classé EDHREC (rank 127) | Mana value cohérente (3.0)",add
Bojuka Bog,0.7438,0,,Land,25,ramp|etb_synergy|graveyard_synergy,0.811,1.0,0.19,0.7378,1.0,0.75,0.996,"Rôles utiles pour la stratégie : ramp, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : graveyard_synergy | Très bien classé EDHREC (rank 25)",add
Doomed Necromancer,0.7428,3.0,{2}{B},Creature — Human Cleric Mercenary,3781,tribal_synergy|graveyard_synergy|recursion,0.9252,1.0,0.29,0.8018,0.4,1.0,0.6626,"Rôles utiles pour la stratégie : recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy | Mana value cohérente (3.0)",add
Priest of Forgotten Gods,0.7383,2.0,{1}{B},Creature — Human Cleric,1428,ramp|card_draw|tribal_synergy|sacrifice_synergy,0.8901,1.0,0.19,0.7721,0.65,1.0,0.847,"Rôles utiles pour la stratégie : ramp, card_draw, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 1428) | Mana value cohérente (2.0)",add
Village Rites,0.7325,1.0,{B},Instant,194,card_draw|sacrifice_synergy,0.8238,1.0,0.19,0.751,0.85,0.75,0.9206,"Rôles utiles pour la stratégie : card_draw, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 194)",add
Ashnod's Altar,0.7316,3.0,{3},Artifact,131,ramp|sacrifice_synergy|artifact_synergy,0.8233,1.0,0.14,0.7628,0.85,1.0,0.9203,"Rôles utiles pour la stratégie : ramp, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 131) | Mana value cohérente (3.0)",add
"Ayli, Eternal Pilgrim",0.7238,2.0,{W}{B},Legendary Creature — Kor Cleric,5437,targeted_removal|sacrifice_synergy|lifegain,0.9264,1.0,0.19,0.7976,0.4,1.0,0.7295,"Rôles utiles pour la stratégie : lifegain, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Mana value cohérente (2.0)",add
Cleric Class,0.7231,1.0,{W},Enchantment — Class,1479,ramp|counter_synergy|graveyard_synergy|lifegain|enchantment_synergy|recursion,0.7567,1.0,0.29,0.8197,0.65,0.75,0.7737,"Rôles utiles pour la stratégie : lifegain, ramp, recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy | Très bien classé EDHREC (rank 1479)",add
"Yawgmoth, Thran Physician",0.7187,4.0,{2}{B}{B},Legendary Creature — Human Cleric,813,card_draw|protection|tribal_synergy|sacrifice_synergy,0.8344,1.0,0.19,0.7785,0.65,0.8,0.8164,"Rôles utiles pour la stratégie : card_draw, protection, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 813) | Mana value cohérente (4.0)",add
"Whisper, Blood Liturgist",0.7167,4.0,{3}{B},Legendary Creature — Human Cleric,5799,tribal_synergy|graveyard_synergy|recursion,0.8469,1.0,0.29,0.8035,0.4,0.8,0.6234,"Rôles utiles pour la stratégie : recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy | Mana value cohérente (4.0)",add
Phyrexian Altar,0.713,3.0,{3},Artifact,309,ramp|sacrifice_synergy|artifact_synergy,0.7142,1.0,0.19,0.7615,0.85,1.0,0.8603,"Rôles utiles pour la stratégie : ramp, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 309) | Mana value cohérente (3.0)",add
High Market,0.7123,0,,Land,468,sacrifice_synergy|lifegain,0.781,1.0,0.14,0.768,0.85,0.75,0.8155,"Rôles utiles pour la stratégie : lifegain, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 468)",add
"Drana, the Last Bloodchief",0.712,5.0,{3}{B}{B},Legendary Creature — Vampire Cleric,6202,counter_synergy|tribal_synergy|graveyard_synergy|recursion,0.7968,1.0,0.34,0.7919,0.4,0.8,0.5984,"Rôles utiles pour la stratégie : recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy | Mana value cohérente (5.0)",add
Deadly Dispute,0.7113,2.0,{1}{B},Instant,128,ramp|card_draw|token_generation|sacrifice_synergy,0.6704,1.0,0.24,0.7599,0.85,1.0,0.8362,"Rôles utiles pour la stratégie : ramp, card_draw, sacrifice_synergy, token_generation | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 128) | Mana value cohérente (2.0)",add
Smothering Tithe,0.7055,4.0,{3}{W},Enchantment,60,ramp|token_generation|artifact_synergy|enchantment_synergy,0.727,1.0,0.1,0.7383,1.0,0.8,0.9498,"Rôles utiles pour la stratégie : ramp, token_generation | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 60) | Mana value cohérente (4.0)",add
Animate Dead,0.7016,2.0,{1}{B},Enchantment — Aura,224,etb_synergy|graveyard_synergy|enchantment_synergy|recursion|voltron_only,0.6143,1.0,0.24,0.8025,0.85,1.0,0.7322,"Rôles utiles pour la stratégie : recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy | Très bien classé EDHREC (rank 224) | Mana value cohérente (2.0)",add
Phyrexian Tower,0.6995,0,,Legendary Land,199,ramp|sacrifice_synergy,0.7376,1.0,0.14,0.7475,0.85,0.75,0.8732,"Rôles utiles pour la stratégie : ramp, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 199)",add
"Vito, Thorn of the Dusk Rose",0.6988,3.0,{2}{B},Legendary Creature — Vampire Cleric,487,tribal_synergy|lifegain,0.9408,0.75,0.15,0.7544,0.85,1.0,0.8954,Rôles utiles pour la stratégie : lifegain | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 487) | Mana value cohérente (3.0),add
Arcane Signet,0.6964,2.0,{2},Artifact,3,ramp|artifact_synergy,0.9473,0.75,0.05,0.7471,1.0,1.0,1.0,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 3) | Mana value cohérente (2.0),add
Sister Hospitaller,0.6964,6.0,{4}{W}{B},Creature — Human Cleric,6359,etb_synergy|tribal_synergy|graveyard_synergy|lifegain|recursion,0.7361,1.0,0.39,0.7869,0.4,0.5,0.568,"Rôles utiles pour la stratégie : lifegain, recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy",add
Amalia Benavides Aguirre,,,,,,,,,,,,,,Support decklists : 0,remove
Archivist Of Oghma,,,,,,,,,,,,,,Support decklists : 0,remove
Attended Healer,,,,,,,,,,,,,,Support decklists : 0,remove
