name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons,section
"Garruk, Primal Hunter",0.7977,5.0,{2}{G}{G}{G},Legendary Planeswalker — Garruk,1950,card_draw|token_generation,0.879,1.0,0.52,0.7877,0.65,0.8,0.8409,"Rôles utiles pour la stratégie : token_generation, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : token_generation | Très bien classé EDHREC (rank 1950) | Mana value cohérente (5.0)",add
Chrome Mox,0.7875,0,{0},Artifact,142,ramp|etb_synergy|artifact_synergy,0.7859,1.0,0.49,0.7833,0.85,0.75,0.8998,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 142)",add
Fierce Empath,0.7842,3.0,{2}{G},Creature — Elf,2085,etb_synergy|tribal_synergy|tutor,0.8479,1.0,0.59,0.8031,0.4,1.0,0.6864,"Rôles utiles pour la stratégie : tutor, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Mana value cohérente (3.0)",add
"Kogla, the Titan Ape",0.781,6.0,{3}{G}{G}{G},Legendary Creature — Ape,1179,etb_synergy|targeted_removal|protection|blink|tribal_synergy|artifact_synergy|enchantment_synergy,0.9374,1.0,0.4,0.7945,0.65,0.5,0.873,"Rôles utiles pour la stratégie : blink, etb_synergy, protection | Bonne présence dans les decklists similaires | Synergise avec les ETB : blink, etb_synergy | Très bien classé EDHREC (rank 1179)",add
The Great Henge,0.7749,9.0,{7}{G}{G},Legendary Artifact,237,ramp|card_draw|etb_synergy|counter_synergy|lifegain|artifact_synergy,0.708,1.0,0.52,0.825,0.85,0.6,0.8569,"Rôles utiles pour la stratégie : card_draw, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 237)",add
Cavern of Souls,0.7681,0,,Land,112,ramp|etb_synergy,0.7646,1.0,0.42,0.7849,0.85,0.75,0.888,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 112)",add
Woodland Bellower,0.7676,6.0,{4}{G}{G},Creature — Beast,6300,etb_synergy|tutor,0.8735,1.0,0.54,0.7945,0.4,0.6,0.7005,"Rôles utiles pour la stratégie : tutor, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy",add
Regal Force,0.7563,7.0,{4}{G}{G}{G},Creature — Elemental,3656,card_draw|etb_synergy,0.8675,1.0,0.47,0.8233,0.4,0.6,0.6971,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy",add
Utopia Sprawl,0.755,1.0,{G},Enchantment — Aura,341,etb_synergy|enchantment_synergy,0.8823,0.75,0.52,0.7877,0.85,0.75,0.8661,Rôles utiles pour la stratégie : etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 341),add
Guardian Project,0.7524,4.0,{3}{G},Enchantment,307,card_draw|etb_synergy|enchantment_synergy,0.6051,1.0,0.52,0.8141,0.85,0.8,0.8003,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 307) | Mana value cohérente (4.0)",add
Finale of Devastation,0.7322,2.0,{X}{G}{G},Sorcery,327,anthem|tutor,0.9233,0.75,0.29,0.8091,0.85,1.0,0.9753,Rôles utiles pour la stratégie : tutor | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 327) | Mana value cohérente (2.0),add
Veil of Summer,0.7231,1.0,{G},Instant,557,card_draw|protection,0.8976,1.0,0.12,0.8011,0.65,0.75,0.8512,"Rôles utiles pour la stratégie : card_draw, protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 557)",add
Wild Growth,0.7218,1.0,{G},Enchantment — Aura,210,ramp|enchantment_synergy,0.9206,0.75,0.27,0.8214,0.85,0.75,0.9738,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 210),add
Elemental Bond,0.7134,3.0,{2}{G},Enchantment,567,card_draw|etb_synergy|enchantment_synergy,0.4719,1.0,0.57,0.8269,0.65,1.0,0.6171,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 567) | Mana value cohérente (3.0)",add
Soul of the Harvest,0.7109,6.0,{4}{G}{G},Creature — Elemental,1585,card_draw|etb_synergy,0.5542,1.0,0.52,0.8139,0.65,0.6,0.6623,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1585)",add
Chord of Calling,0.7077,3.0,{X}{G}{G}{G},Instant,535,tutor,0.9091,0.75,0.29,0.8186,0.65,1.0,0.8575,Rôles utiles pour la stratégie : tutor | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 535) | Mana value cohérente (3.0),add
