name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons,section
Commander's Sphere,0.8181,3.0,{3},Artifact,45,ramp|card_draw|artifact_synergy,0.778,1.0,0.54,0.7737,1.0,1.0,0.9779,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 45) | Mana value cohérente (3.0)",add
Vanquisher's Banner,0.794,5.0,{5},Artifact,350,card_draw|etb_synergy|artifact_synergy,0.6958,1.0,0.64,0.7734,0.85,0.8,0.8502,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 350) | Mana value cohérente (5.0)",add
Loran of the Third Path,0.7815,3.0,{2}{W},Legendary Creature — Human Artificer,353,card_draw|etb_synergy|tribal_synergy,0.6252,1.0,0.64,0.7734,0.85,1.0,0.8113,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Pioche (alimente la main en creatures) | Vigilance (attaque sans se tapper) | Donne vigilance | Source de pioche | Très bien classé EDHREC (rank 353) | Mana value cohérente (3.0)",add
Thundermare,0.7625,6.0,{5}{R},Creature — Elemental Horse,18331,etb_synergy,0.8628,0.75,0.96,0.811,0.2,0.5,0.5314,Rôles utiles pour la stratégie : etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Donne haste (support d'attaque) | Donne haste au commandant | Grosse creature a fort impact (MV=6),add
Karmic Guide,0.758,5.0,{3}{W}{W},Creature — Angel Spirit,932,etb_synergy|protection|tribal_synergy|graveyard_synergy|recursion,0.5686,1.0,0.743,0.7654,0.65,0.8,0.6702,"Rôles utiles pour la stratégie : etb_synergy, protection | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Support combat : protection | Très bien classé EDHREC (rank 932) | Mana value cohérente (5.0)",add
Adaptive Automaton,0.7553,3.0,{3},Artifact Creature — Construct,1743,ramp|etb_synergy|artifact_synergy,0.7388,1.0,0.485,0.7552,0.65,1.0,0.7638,"Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Puissance variable (compatible) | Très bien classé EDHREC (rank 1743) | Mana value cohérente (3.0)",add
Loyal Warhound,0.7439,2.0,{1}{W},Creature — Dog,1576,ramp|etb_synergy|tutor,0.3583,1.0,0.9,0.7879,0.65,1.0,0.5546,"Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Tuteur (chercher les creatures) | Vigilance (attaque sans se tapper) | Donne vigilance | Très bien classé EDHREC (rank 1576) | Mana value cohérente (2.0)",add
Metallic Mimic,0.7416,2.0,{2},Artifact Creature — Shapeshifter,1083,ramp|etb_synergy|counter_synergy|artifact_synergy,0.6838,1.0,0.485,0.7598,0.65,1.0,0.7336,"Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Puissance variable (compatible) | Très bien classé EDHREC (rank 1083) | Mana value cohérente (2.0)",add
Boros Charm,0.7404,2.0,{R}{W},Instant,175,protection,0.8655,0.75,0.438,0.7671,0.85,1.0,0.9435,Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Support combat : protection | Très bien classé EDHREC (rank 175) | Mana value cohérente (2.0),add
"Iroas, God of Victory",0.733,4.0,{2}{R}{W},Legendary Enchantment Creature — God,1475,protection|enchantment_synergy,0.7928,0.75,0.663,0.7321,0.65,0.8,0.7935,Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Support combat : protection | Très bien classé EDHREC (rank 1475) | Mana value cohérente (4.0),add
Big Score,0.7297,4.0,{3}{R},Instant,161,ramp|card_draw|token_generation,0.5015,1.0,0.59,0.7494,0.85,0.8,0.7433,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 161) | Mana value cohérente (4.0)",add
Your Temple Is Under Attack,0.7289,3.0,{2}{W},Instant,2265,card_draw|protection,0.5597,1.0,0.718,0.7655,0.4,1.0,0.5278,"Rôles utiles pour la stratégie : card_draw, protection | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Support combat : protection | Source de pioche | Mana value cohérente (3.0)",add
Claim Jumper,0.7253,3.0,{2}{W},Creature — Rabbit Mercenary,1779,ramp|etb_synergy|tutor,0.2882,1.0,0.9,0.7862,0.65,1.0,0.516,"Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Tuteur (chercher les creatures) | Vigilance (attaque sans se tapper) | Donne vigilance | Très bien classé EDHREC (rank 1779) | Mana value cohérente (3.0)",add
Rumor Gatherer,0.7243,3.0,{1}{W}{W},Creature — Elf Wizard,1438,card_draw|etb_synergy|tribal_synergy,0.4352,1.0,0.715,0.7704,0.65,1.0,0.5969,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 1438) | Mana value cohérente (3.0)",add
Firemane Commando,0.7232,4.0,{3}{W},Creature — Angel Soldier,1863,card_draw|tribal_synergy,0.5523,0.75,0.875,0.8026,0.65,0.8,0.6612,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 1863) | Mana value cohérente (4.0),add
Path of Ancestry,0.7228,0,,Land,14,ramp,0.8207,0.75,0.35,0.7843,1.0,0.75,1.0,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 14),add
Temple of Triumph,0.7217,0,,Land,286,ramp|etb_synergy,0.7826,1.0,0.19,0.7507,0.85,0.75,0.898,"Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 286)",add
"Aurelia, the Law Above",0.721,5.0,{3}{R}{W},Legendary Creature — Angel,1730,card_draw|boardwipe|tribal_synergy|lifegain,0.5386,0.75,0.9,0.7784,0.65,0.8,0.6538,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Pioche (alimente la main en creatures) | Donne haste (support d'attaque) | Donne haste au commandant | Source de pioche | Très bien classé EDHREC (rank 1730) | Mana value cohérente (5.0),add
Guardian Sunmare,0.7204,5.0,{3}{W}{W},Creature — Horse Mount,8543,ramp|tutor,0.6382,0.75,0.875,0.8194,0.4,0.8,0.571,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Tuteur (chercher les creatures) | Mana value cohérente (5.0),add
Patchwork Banner,0.7203,3.0,{3},Artifact,234,ramp|etb_synergy|artifact_synergy,0.6588,1.0,0.3,0.76,0.85,1.0,0.8298,"Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 234) | Mana value cohérente (3.0)",add
Adept Watershaper,,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
Akroma'S Will,,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
Angel Of Destiny,,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
"Anim Pakal, Thousandth Moon",,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
Arcane Signet,,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
Archon Of Emeria,,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
Arid Mesa,,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
"Aurelia, Exemplar Of Justice",,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
"Aurelia, The Warleader",,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
"Baldin, Century Herdmaster",,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
Balefire Liege,,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
Bastion Protector,,,,,,,,,,,,,,Présent dans 0% des decklists similaires (support : 0),remove
