name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons,section
"Tatyova, Benthic Druid",0.8843,5.0,{3}{G}{U},Legendary Creature — Merfolk Druid,457,card_draw|etb_synergy|tribal_synergy|lifegain|landfall,0.9236,1.0,0.8,0.7658,0.85,0.8,0.9755,"Rôles utiles pour la stratégie : lifegain, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 457) | Mana value cohérente (5.0)",add
Tireless Provisioner,0.84,3.0,{2}{G},Creature — Elf Scout,180,ramp|etb_synergy|token_generation|tribal_synergy|lifegain|landfall|artifact_synergy,0.8833,1.0,0.61,0.7541,0.85,1.0,0.9533,"Rôles utiles pour la stratégie : token_generation, lifegain, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Cree des tokens sacrifiables | Très bien classé EDHREC (rank 180) | Mana value cohérente (3.0)",add
Arcane Denial,0.8345,2.0,{1}{U},Instant,56,card_draw|counterspell,0.7408,1.0,0.65,0.8009,1.0,1.0,0.9574,"Rôles utiles pour la stratégie : counterspell, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 56) | Mana value cohérente (2.0)",add
Solemn Simulacrum,0.8328,4.0,{4},Artifact Creature — Golem,38,ramp|card_draw|etb_synergy|artifact_synergy|tutor,0.7446,1.0,0.68,0.7832,1.0,0.8,0.9595,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 38) | Mana value cohérente (4.0)",add
Zagoth Triome,0.8204,0,,Land — Swamp Forest Island,400,ramp|card_draw,0.8541,1.0,0.58,0.7645,0.85,0.75,0.9372,"Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 400)",add
Black Market Connections,0.8064,3.0,{2}{B},Enchantment,133,card_draw|token_generation|tribal_synergy|enchantment_synergy,0.5055,1.0,0.9,0.8009,0.85,1.0,0.7455,"Rôles utiles pour la stratégie : token_generation, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Cree des tokens sacrifiables | Très bien classé EDHREC (rank 133) | Mana value cohérente (3.0)",add
Growth Spiral,0.7993,2.0,{G}{U},Instant,225,card_draw,0.8372,0.75,0.75,0.7931,0.85,1.0,0.9279,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 225) | Mana value cohérente (2.0),add
"Sheoldred, the Apocalypse",0.7926,4.0,{2}{B}{B},Legendary Creature — Phyrexian Praetor,463,card_draw|lifegain,0.5911,1.0,0.75,0.7997,0.85,0.8,0.7926,"Rôles utiles pour la stratégie : lifegain, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 463) | Mana value cohérente (4.0)",add
Ethereal Investigator,0.7925,4.0,{3}{U},Creature — Spirit,3850,card_draw|etb_synergy|token_generation|artifact_synergy,0.6522,1.0,0.94,0.7722,0.4,0.8,0.5787,"Rôles utiles pour la stratégie : token_generation, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Cree des tokens sacrifiables | Mana value cohérente (4.0)",add
Moldervine Reclamation,0.7886,5.0,{3}{B}{G},Enchantment,958,card_draw|lifegain|enchantment_synergy,0.6617,1.0,0.73,0.825,0.65,0.8,0.7214,"Rôles utiles pour la stratégie : lifegain, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 958) | Mana value cohérente (5.0)",add
