Section,Card Name,Score,Support,Deck Frequency
Commander,"Eluge, the Shoreless Sea",,,

Additions,,,,
add,Mystic Sanctuary,308,,
add,Reliquary Tower,298,,
add,Arcane Signet,272,,
add,Essence Flux,241,,
add,High Tide,229,,
add,Pull from Tomorrow,215,,
add,Frantic Search,212,,
add,Rogue's Passage,211,,
add,Mystic Confluence,200,,
add,Sink into Stupor,191,,
add,Blue Sun's Zenith,188,,
add,Blur,184,,
add,Ghostly Flicker,180,,
add,Archmage of Runes,174,,
add,Pongify,170,,
add,Displacer Kitten,161,,
add,Rapid Hybridization,160,,
add,Cryptic Command,155,,
add,Archaeomancer,154,,
add,The Flood of Mars,153,,

Removals,,,,
remove,Jwari Disruption // Jwari Ruins,,0,0
remove,Malevolent Hermit // Benevolent Geist,,0,0
remove,"Search for Azcanta // Azcanta, the Sunken Ruin",,0,0
remove,Silundi Vision // Silundi Isle,,0,0
remove,Abhorrent Oculus,,0,41
remove,Renegade Doppelganger,,1,5
remove,Steamcore Scholar,,1,11
remove,Demilich,,2,3
remove,Roaming Throne,,2,3562
remove,Ertai's Scorn,,3,42
remove,Compulsive Research,,5,105
remove,Shadowspear,,5,322
remove,Tyrite Sanctum,,9,207
remove,Thundertrap Trainer,,11,28
remove,Silver Scrutiny,,16,27
remove,Ledger Shredder,,16,188
remove,Hall of Storm Giants,,19,80
remove,Gifts Ungiven,,23,289
remove,Alrund's Epiphany,,24,67
remove,Pact of Negation,,24,832
