"Section","Card Name","Score","Support","Deck Frequency","Vector Score","Synergy","EDHREC","Mana Curve","Quality","Roles","Reason","Algorithm"
"Commander","Captain N'ghathrod","","","","","","","","","","","v3"
"add","Animate Dead","1405","0.6499","1.0","0.7988","0.2","0.85","1.0","0.75","etb_synergy|graveyard_synergy|enchantment_synergy|recursion|voltron_only","Rôles utiles pour la stratégie : graveyard_synergy, recursion | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 224) | Mana value cohérente (2.0)","v3"
"add","Port of Karfell","1392","0.8386","1.0","0.8028","0.2","0.4","0.75","0.6812","ramp|graveyard_synergy|recursion","Rôles utiles pour la stratégie : graveyard_synergy, ramp, recursion | Bonne présence dans les decklists similaires","v3"
"add","Syr Konrad, the Grim","1385","0.7793","0.75","0.8333","0.3","0.85","0.8","0.8146","tribal_synergy|graveyard_synergy","Rôles utiles pour la stratégie : graveyard_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 252) | Mana value cohérente (5.0)","v3"
"add","Bojuka Bog","1373","0.6909","1.0","0.7517","0.05","1.0","0.75","0.93","ramp|etb_synergy|graveyard_synergy","Rôles utiles pour la stratégie : graveyard_synergy, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 25)","v3"
"add","Ruin Crab","1366","0.857","0.75","0.7902","0.3","0.65","0.75","0.7535","etb_synergy|graveyard_synergy|landfall","Rôles utiles pour la stratégie : graveyard_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 1304)","v3"
"add","Thought Vessel","1334","0.874","0.75","0.7412","0.0","1.0","1.0","1.0","ramp|artifact_synergy","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 21) | Mana value cohérente (2.0)","v3"
"add","Drownyard Temple","1333","0.7488","1.0","0.7861","0.05","0.65","0.75","0.6994","graveyard_synergy|recursion","Rôles utiles pour la stratégie : graveyard_synergy, recursion | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 1977)","v3"
"add","Takenuma, Abandoned Mire","1327","0.5676","1.0","0.791","0.15","0.85","0.75","0.7797","ramp|graveyard_synergy|recursion","Rôles utiles pour la stratégie : graveyard_synergy, ramp, recursion | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 241)","v3"
"add","Commander's Sphere","1325","0.5524","1.0","0.7815","0.05","1.0","1.0","0.8538","ramp|card_draw|artifact_synergy","Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 45) | Mana value cohérente (3.0)","v3"
"add","Hunted Horror","1292","0.9049","0.75","0.7859","0.15","0.4","1.0","0.7177","etb_synergy|token_generation|protection","Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Mana value cohérente (2.0)","v3"
"add","Bruvac the Grandiloquent","1284","0.7842","0.75","0.7768","0.3","0.4","1.0","0.5921","tribal_synergy|graveyard_synergy","Rôles utiles pour la stratégie : graveyard_synergy | Bonne présence dans les decklists similaires | Mana value cohérente (3.0)","v3"
"add","Solemn Simulacrum","1283","0.385","1.0","0.7741","0.2","1.0","0.8","0.7618","ramp|card_draw|etb_synergy|artifact_synergy|tutor","Rôles utiles pour la stratégie : ramp, card_draw | Très bien classé EDHREC (rank 38) | Mana value cohérente (4.0)","v3"
"add","Watery Grave","1275","0.7961","0.75","0.7265","0.0","1.0","0.75","0.9878","ramp|etb_synergy","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 52)","v3"
"add","Rhystic Study","1275","0.678","0.75","0.7464","0.1","1.0","1.0","0.9229","card_draw|enchantment_synergy","Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 41) | Mana value cohérente (3.0)","v3"
"add","Fellwar Stone","1275","0.7172","0.75","0.7444","0.05","1.0","1.0","0.9444","ramp|artifact_synergy","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 18) | Mana value cohérente (2.0)","v3"
"add","Polluted Delta","1274","0.6985","0.75","0.7595","0.1","1.0","0.75","0.9342","ramp|tutor","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 37)","v3"
"add","Swiftfoot Boots","1273","0.6869","0.75","0.7262","0.1","1.0","1.0","0.9278","protection|artifact_synergy|voltron_only","Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 12) | Mana value cohérente (2.0)","v3"
