Section,Card Name,Score,Support,Deck Frequency,Vector Score,Synergy,EDHREC,Mana Curve,Quality,Roles,Reason,Algorithm
Commander,"Eluge, the Shoreless Sea",,,,,,,,,,,v3
add,Arcane Denial,1607,0.8238,1.0,0.7733,0.408,1.0,1.0,1.0,card_draw|counterspell,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 56) | Mana value cohérente (2.0)",v3
add,An Offer You Can't Refuse,1575,0.8316,1.0,0.7698,0.358,1.0,0.75,1.0,ramp|token_generation|counterspell,"Rôles utiles pour la stratégie : ramp, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 35)",v3
add,Mystic Confluence,1539,0.8461,1.0,0.7791,0.428,0.65,0.8,0.8229,card_draw|counterspell,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1422) | Mana value cohérente (5.0)",v3
add,Cryptic Command,1539,0.8354,1.0,0.7975,0.428,0.65,0.8,0.817,card_draw|counterspell,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1654) | Mana value cohérente (4.0)",v3
add,Counterspell,1521,0.9392,0.75,0.7786,0.358,1.0,1.0,1.0,counterspell,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 16) | Mana value cohérente (2.0),v3
add,Three Steps Ahead,1495,0.7872,1.0,0.7729,0.408,0.65,0.75,0.7905,ramp|card_draw|token_generation|counterspell|artifact_synergy,"Rôles utiles pour la stratégie : ramp, card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1101)",v3
add,Swan Song,1471,0.7511,0.75,0.7538,0.528,1.0,0.75,0.9631,token_generation|counterspell,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 74),v3
add,Archmage's Charm,1470,0.8887,0.75,0.7853,0.478,0.65,1.0,0.8463,counterspell,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1768) | Mana value cohérente (3.0),v3
add,Mystic Sanctuary,1461,0.9484,0.75,0.7633,0.32,0.85,0.75,0.9891,ramp,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 172),v3
add,Fierce Guardianship,1458,0.7168,0.75,0.7843,0.478,1.0,1.0,0.9442,counterspell,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 79) | Mana value cohérente (3.0),v3
add,High Tide,1457,0.9029,0.75,0.7944,0.458,0.65,0.75,0.8541,ramp,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 811),v3
add,Solemn Simulacrum,1439,0.7127,1.0,0.7646,0.17,1.0,0.8,0.942,ramp|card_draw|etb_synergy|artifact_synergy|tutor,"Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 38) | Mana value cohérente (4.0)",v3
add,Mana Drain,1437,0.787,0.75,0.7968,0.408,0.85,1.0,0.9004,counterspell,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 115) | Mana value cohérente (2.0),v3
add,Frantic Search,1434,0.8761,0.75,0.767,0.308,0.85,1.0,0.9493,card_draw,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 108) | Mana value cohérente (3.0),v3
add,Negate,1420,0.7443,0.75,0.771,0.358,1.0,1.0,0.9594,counterspell,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 53) | Mana value cohérente (2.0),v3
add,Rewind,1411,0.8382,0.75,0.7847,0.428,0.65,0.8,0.8185,counterspell,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 996) | Mana value cohérente (4.0),v3
add,Arcane Signet,1398,0.936,0.75,0.7559,0.07,1.0,1.0,1.0,ramp|artifact_synergy,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 3) | Mana value cohérente (2.0),v3
add,Mind Stone,1398,0.7554,1.0,0.7379,0.0,1.0,1.0,0.9655,ramp|card_draw|artifact_synergy,"Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 32) | Mana value cohérente (2.0)",v3
add,Long River's Pull,1397,0.5606,1.0,0.7881,0.408,0.65,1.0,0.6658,card_draw|counterspell,"Rôles utiles pour la stratégie : card_draw, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1488) | Mana value cohérente (2.0)",v3
