"Section","Card Name","Score","Support","Deck Frequency","Vector Score","Synergy","EDHREC","Mana Curve","Quality","Roles","Reason","Algorithm"
"Commander","Galadriel, Light of Valinor","","","","","","","","","","","v3"
"add","Rumor Gatherer","1554","0.72","1.0","0.8179","0.57","0.65","1.0","0.7535","card_draw|etb_synergy|tribal_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1438) | Mana value cohérente (3.0)","v3"
"add","Guardian Project","1547","0.6876","1.0","0.8116","0.52","0.85","0.8","0.8457","card_draw|etb_synergy|enchantment_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 307) | Mana value cohérente (4.0)","v3"
"add","Temple Garden","1540","0.8563","1.0","0.7566","0.25","1.0","0.75","1.0","ramp|etb_synergy","Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 82)","v3"
"add","Breeding Pool","1539","0.8538","1.0","0.7571","0.25","1.0","0.75","1.0","ramp|etb_synergy","Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 63)","v3"
"add","Hallowed Fountain","1533","0.8462","1.0","0.7483","0.25","1.0","0.75","1.0","ramp|etb_synergy","Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 65)","v3"
"add","Swan Song","1528","0.7849","1.0","0.7703","0.3","1.0","0.75","0.9817","token_generation|counterspell","Rôles utiles pour la stratégie : token_generation, counterspell | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation | Très bien classé EDHREC (rank 74)","v3"
"add","Tribute to the World Tree","1520","0.653","1.0","0.7945","0.59","0.65","1.0","0.7167","card_draw|etb_synergy|counter_synergy|enchantment_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 589) | Mana value cohérente (3.0)","v3"
"add","The Great Henge","1518","0.6077","1.0","0.8007","0.59","0.85","0.6","0.8017","ramp|card_draw|etb_synergy|counter_synergy|lifegain|artifact_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 237)","v3"
"add","Kindred Discovery","1517","0.6021","1.0","0.7932","0.57","0.85","0.8","0.7987","card_draw|etb_synergy|enchantment_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 347) | Mana value cohérente (5.0)","v3"
"add","Inspiring Call","1510","0.731","1.0","0.8133","0.34","0.85","1.0","0.8695","card_draw|counter_synergy|protection","Rôles utiles pour la stratégie : card_draw, protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 272) | Mana value cohérente (3.0)","v3"
"add","The One Ring","1509","0.6131","1.0","0.7707","0.47","1.0","0.8","0.8872","card_draw|etb_synergy|protection|lifegain|artifact_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy, protection | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 88) | Mana value cohérente (4.0)","v3"
"add","Galadhrim Brigade","1491","0.8301","1.0","0.8037","0.42","0.4","1.0","0.6766","ramp|etb_synergy|token_generation|tribal_synergy","Rôles utiles pour la stratégie : token_generation, etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation, etb_synergy | Mana value cohérente (3.0)","v3"
"add","Farhaven Elf","1485","0.7352","1.0","0.7616","0.42","0.65","1.0","0.7619","ramp|etb_synergy|tribal_synergy|tutor","Rôles utiles pour la stratégie : tutor, etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1392) | Mana value cohérente (3.0)","v3"
"add","Vanquisher's Banner","1473","0.4998","1.0","0.7967","0.59","0.85","0.8","0.7424","card_draw|etb_synergy|artifact_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 350) | Mana value cohérente (5.0)","v3"
"add","Fathom Mage","1466","0.5337","1.0","0.7966","0.64","0.65","0.8","0.651","card_draw|etb_synergy|counter_synergy|tribal_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1716) | Mana value cohérente (4.0)","v3"
"add","Cultivate","1464","0.8001","1.0","0.7885","0.07","1.0","1.0","0.9901","ramp|tutor","Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 20) | Mana value cohérente (3.0)","v3"
"add","Otawara, Soaring City","1463","0.6418","1.0","0.7782","0.32","1.0","0.75","0.903","ramp|blink|artifact_synergy|enchantment_synergy","Rôles utiles pour la stratégie : blink, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : blink | Très bien classé EDHREC (rank 90)","v3"
