"Section","Card Name","Score","Support","Deck Frequency","Vector Score","Synergy","EDHREC","Mana Curve","Quality","Roles","Reason","Algorithm"
"Commander","Kyler, Sigardian Emissary","","","","","","","","","","","v3"
"add","Champion of the Parish","1544","0.8383","1.0","0.7966","0.59","0.4","0.75","0.6191","etb_synergy|counter_synergy|tribal_synergy","Rôles utiles pour la stratégie : counter_synergy, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy","v3"
"add","Maja, Bretagard Protector","1517","0.8882","1.0","0.7629","0.47","0.4","0.8","0.7085","etb_synergy|token_generation|anthem|tribal_synergy|landfall","Rôles utiles pour la stratégie : anthem, token_generation, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation, etb_synergy | Mana value cohérente (5.0)","v3"
"add","Temple of Plenty","1516","0.8776","1.0","0.7457","0.25","0.85","0.75","0.9502","ramp|etb_synergy","Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 478)","v3"
"add","Garruk's Uprising","1509","0.6701","1.0","0.7921","0.35","1.0","1.0","0.9186","card_draw|etb_synergy|enchantment_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 92) | Mana value cohérente (3.0)","v3"
"add","Temple Garden","1504","0.7997","1.0","0.7328","0.25","1.0","0.75","0.9898","ramp|etb_synergy","Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 82)","v3"
"add","Juniper Order Ranger","1504","0.7872","1.0","0.8073","0.54","0.4","0.8","0.5936","etb_synergy|counter_synergy|tribal_synergy","Rôles utiles pour la stratégie : counter_synergy, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Mana value cohérente (5.0)","v3"
"add","Horn of Gondor","1500","0.814","1.0","0.7699","0.35","0.65","1.0","0.8052","etb_synergy|token_generation|tribal_synergy|artifact_synergy","Rôles utiles pour la stratégie : token_generation, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation, etb_synergy | Très bien classé EDHREC (rank 1913) | Mana value cohérente (3.0)","v3"
"add","Slippery Bogbonder","1484","0.812","1.0","0.759","0.49","0.4","0.8","0.6666","etb_synergy|protection|tribal_synergy","Rôles utiles pour la stratégie : protection, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Mana value cohérente (4.0)","v3"
"add","Castle Ardenvale","1479","0.8582","1.0","0.7385","0.3","0.65","0.75","0.8295","ramp|token_generation|tribal_synergy","Rôles utiles pour la stratégie : ramp, token_generation | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation | Très bien classé EDHREC (rank 684)","v3"
"add","Guardian Project","1475","0.707","1.0","0.7657","0.35","0.85","0.8","0.8564","card_draw|etb_synergy|enchantment_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 307) | Mana value cohérente (4.0)","v3"
"add","The Great Henge","1473","0.6243","1.0","0.7557","0.49","0.85","0.6","0.8109","ramp|card_draw|etb_synergy|counter_synergy|lifegain|artifact_synergy","Rôles utiles pour la stratégie : ramp, card_draw, counter_synergy, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 237)","v3"
"add","Vanquisher's Banner","1464","0.6717","1.0","0.7609","0.37","0.85","0.8","0.8369","card_draw|etb_synergy|artifact_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 350) | Mana value cohérente (5.0)","v3"
"add","Felidar Retreat","1441","0.4969","1.0","0.7614","0.54","0.85","0.8","0.7408","etb_synergy|token_generation|counter_synergy|landfall|enchantment_synergy","Rôles utiles pour la stratégie : counter_synergy, token_generation, etb_synergy | Bonne synergie avec le texte du commandant | Synergise avec les ETB : token_generation, etb_synergy | Très bien classé EDHREC (rank 482) | Mana value cohérente (4.0)","v3"
"add","Smothering Tithe","1439","0.6167","1.0","0.7564","0.3","1.0","0.8","0.8892","ramp|token_generation|artifact_synergy|enchantment_synergy","Rôles utiles pour la stratégie : ramp, token_generation | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation | Très bien classé EDHREC (rank 60) | Mana value cohérente (4.0)","v3"
"add","Bastion Protector","1437","0.9236","1.0","0.7698","0.05","0.65","1.0","0.8655","protection|anthem|tribal_synergy","Rôles utiles pour la stratégie : anthem, protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 974) | Mana value cohérente (3.0)","v3"
"add","Gavony Township","1436","0.8448","1.0","0.7659","0.19","0.65","0.75","0.8221","ramp|counter_synergy","Rôles utiles pour la stratégie : ramp, counter_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 955)","v3"
"add","Tribute to the World Tree","1435","0.5827","1.0","0.7687","0.49","0.65","1.0","0.678","card_draw|etb_synergy|counter_synergy|enchantment_synergy","Rôles utiles pour la stratégie : counter_synergy, card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 589) | Mana value cohérente (3.0)","v3"
"add","Gyre Sage","1433","0.5261","1.0","0.7933","0.54","0.65","1.0","0.6469","ramp|etb_synergy|counter_synergy|tribal_synergy","Rôles utiles pour la stratégie : ramp, counter_synergy, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 828) | Mana value cohérente (2.0)","v3"
"add","Citadel Siege","1430","0.7325","1.0","0.79","0.44","0.4","0.8","0.5662","etb_synergy|counter_synergy|tribal_synergy|enchantment_synergy","Rôles utiles pour la stratégie : counter_synergy, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Mana value cohérente (4.0)","v3"
"add","Loran of the Third Path","1412","0.6023","1.0","0.7645","0.3","0.85","1.0","0.7988","card_draw|etb_synergy|tribal_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 353) | Mana value cohérente (3.0)","v3"
"remove","Spectacular Spider-Man","","","","","","","","","","Présent dans 0 deck(s) des decklists similaires","v3"
"remove","Cave of the Frost Dragon","","0.0029","0.0029","","","","","","","Présent dans 0.3% des decklists similaires","v3"
"remove","End-Raze Forerunners","","0.0049","0.0049","","","","","","","Présent dans 0.5% des decklists similaires","v3"
"remove","Anthem Of Champions","","0.0055","0.0055","","","","","","","Présent dans 0.5% des decklists similaires","v3"
"remove","Magus of the Order","","0.0065","0.0065","","","","","","","Présent dans 0.7% des decklists similaires","v3"
"remove","Extraction Specialist","","0.0075","0.0075","","","","","","","Présent dans 0.8% des decklists similaires","v3"
"remove","Selfless Spirit","","0.0085","0.0085","","","","","","","Présent dans 0.9% des decklists similaires","v3"
"remove","Park Heights Maverick","","0.0098","0.0098","","","","","","","Présent dans 1.0% des decklists similaires","v3"
"remove","Crusader of Odric","","0.0104","0.0104","","","","","","","Présent dans 1.0% des decklists similaires","v3"
"remove","Luminous Broodmoth","","0.0134","0.0134","","","","","","","Présent dans 1.3% des decklists similaires","v3"
"remove","Siege Veteran","","0.0186","0.0186","","","","","","","Présent dans 1.9% des decklists similaires","v3"
"remove","Resistance Squad","","0.0228","0.0228","","","","","","","Présent dans 2.3% des decklists similaires","v3"
"remove","Banner of Kinship","","0.0274","0.0274","","","","","","","Présent dans 2.7% des decklists similaires","v3"
