"Section","Card Name","Score","Support","Deck Frequency","Vector Score","Synergy","EDHREC","Mana Curve","Quality","Roles","Reason","Algorithm"
"Commander","Lathril, Blade of the Elves","","","","","","","","","","","v3"
"add","Wolverine Riders","1535","0.8798","1.0","0.8282","0.52","0.4","0.5","0.7039","etb_synergy|token_generation|tribal_synergy|lifegain","Rôles utiles pour la stratégie : token_generation, lifegain | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Cree des tokens","v3"
"add","Deathrite Shaman","1463","0.7978","1.0","0.7923","0.3","0.65","0.75","0.7963","ramp|targeted_removal|tribal_synergy|graveyard_synergy|lifegain","Rôles utiles pour la stratégie : graveyard_synergy, ramp, lifegain | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 590)","v3"
"add","Galadhrim Brigade","1456","0.6759","1.0","0.8221","0.52","0.4","1.0","0.5918","ramp|etb_synergy|token_generation|tribal_synergy","Rôles utiles pour la stratégie : token_generation, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Cree des tokens | Mana value cohérente (3.0)","v3"
"add","Skemfar Elderhall","1444","0.7227","1.0","0.8154","0.47","0.4","0.75","0.6175","ramp|token_generation|tribal_synergy","Rôles utiles pour la stratégie : token_generation, ramp | Bonne présence dans les decklists similaires | Cree des tokens","v3"
"add","Elven Ambush","1438","0.9339","0.75","0.8365","0.47","0.4","0.8","0.7336","token_generation|tribal_synergy","Rôles utiles pour la stratégie : token_generation | Bonne présence dans les decklists similaires | Cree des tokens | Mana value cohérente (4.0)","v3"
"add","Shamanic Revelation","1430","0.7759","1.0","0.762","0.15","0.85","0.8","0.8942","card_draw|lifegain","Rôles utiles pour la stratégie : card_draw, lifegain | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 370) | Mana value cohérente (5.0)","v3"
"add","Staff of Domination","1410","0.7749","1.0","0.8051","0.15","0.65","1.0","0.7837","card_draw|lifegain|artifact_synergy","Rôles utiles pour la stratégie : card_draw, lifegain | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 1043) | Mana value cohérente (3.0)","v3"
"add","Freyalise, Llanowar's Fury","1401","0.7189","1.0","0.802","0.37","0.4","0.8","0.6154","ramp|card_draw|token_generation|targeted_removal|tribal_synergy|artifact_synergy|enchantment_synergy","Rôles utiles pour la stratégie : token_generation, ramp, card_draw | Bonne présence dans les decklists similaires | Cree des tokens | Mana value cohérente (5.0)","v3"
"add","Llanowar Elves","1400","0.9636","0.75","0.7953","0.05","1.0","0.75","1.0","ramp|tribal_synergy","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 62)","v3"
