Section,Card Name,Score,Support,Deck Frequency,Vector Score,Synergy,EDHREC,Mana Curve,Quality,Roles,Reason,Algorithm
Commander,"Omnath, Locus of Creation",,,,,,,,,,,v3
add,Lotus Cobra,1710,0.9212,1.0,0.8137,0.59,0.85,1.0,0.9742,ramp|etb_synergy|landfall,"Rôles utiles pour la stratégie : landfall, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 319) | Mana value cohérente (2.0)",v3
add,"Tatyova, Benthic Druid",1702,0.9012,1.0,0.7965,0.64,0.85,0.8,0.9632,card_draw|etb_synergy|tribal_synergy|lifegain|landfall,"Rôles utiles pour la stratégie : landfall, card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 457) | Mana value cohérente (5.0)",v3
add,Scute Swarm,1679,0.8669,1.0,0.8066,0.59,0.85,1.0,0.9443,etb_synergy|token_generation|landfall,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 220) | Mana value cohérente (3.0)",v3
add,Breeding Pool,1647,0.9256,1.0,0.769,0.42,1.0,0.75,1.0,ramp|etb_synergy,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 63)",v3
add,Temple Garden,1646,0.9138,1.0,0.786,0.42,1.0,0.75,1.0,ramp|etb_synergy,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 82)",v3
add,Stomping Ground,1645,0.9154,1.0,0.7821,0.42,1.0,0.75,1.0,ramp|etb_synergy,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 68)",v3
add,Felidar Retreat,1644,0.833,1.0,0.814,0.57,0.85,0.8,0.9256,etb_synergy|token_generation|counter_synergy|landfall|enchantment_synergy,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 482) | Mana value cohérente (4.0)",v3
add,Hallowed Fountain,1633,0.9026,1.0,0.7616,0.42,1.0,0.75,1.0,ramp|etb_synergy,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 65)",v3
add,Steam Vents,1630,0.897,1.0,0.7627,0.42,1.0,0.75,1.0,ramp|etb_synergy,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 67)",v3
add,Sacred Foundry,1621,0.8653,1.0,0.785,0.42,1.0,0.75,1.0,ramp|etb_synergy,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 78)",v3
add,"Aesi, Tyrant of Gyre Strait",1619,0.8495,1.0,0.798,0.64,0.65,0.6,0.8247,card_draw|etb_synergy|landfall,"Rôles utiles pour la stratégie : landfall, card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 844)",v3
add,Valakut Exploration,1607,0.7671,1.0,0.8317,0.64,0.65,1.0,0.7085,etb_synergy|graveyard_synergy|landfall|enchantment_synergy,"Rôles utiles pour la stratégie : landfall, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1541) | Mana value cohérente (3.0)",v3
add,"Omnath, Locus of the Roil",1606,0.805,1.0,0.8847,0.71,0.4,0.8,0.6627,card_draw|etb_synergy|counter_synergy|landfall,"Rôles utiles pour la stratégie : landfall, card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Mana value cohérente (4.0)",v3
add,Field of the Dead,1597,0.8257,1.0,0.7882,0.49,0.85,0.75,0.9216,etb_synergy|token_generation|tribal_synergy,"Rôles utiles pour la stratégie : etb_synergy, token_generation | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 448)",v3
add,Avenger of Zendikar,1595,0.8455,1.0,0.808,0.52,0.85,0.25,0.9325,etb_synergy|token_generation|counter_synergy|landfall,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 271)",v3
add,"Omnath, Locus of Rage",1595,0.8565,1.0,0.8674,0.57,0.65,0.25,0.8286,etb_synergy|token_generation|landfall,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 942)",v3
add,"Uro, Titan of Nature's Wrath",1583,0.7453,1.0,0.7797,0.64,0.65,1.0,0.7674,card_draw|etb_synergy|graveyard_synergy|lifegain,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1436) | Mana value cohérente (3.0)",v3
add,Windswept Heath,1577,0.9278,1.0,0.7737,0.24,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 46)",v3
add,Wooded Foothills,1573,0.918,1.0,0.7779,0.24,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 48)",v3
add,Rampaging Baloths,1573,0.7709,1.0,0.8141,0.52,0.85,0.5,0.8915,etb_synergy|token_generation|landfall,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 362)",v3
add,Misty Rainforest,1573,0.929,1.0,0.7581,0.24,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 40)",v3
add,Scalding Tarn,1573,0.9199,1.0,0.7732,0.24,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 49)",v3
add,Arid Mesa,1571,0.9231,1.0,0.7618,0.24,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 55)",v3
add,Flooded Strand,1570,0.9118,1.0,0.7781,0.24,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 39)",v3
add,Retreat to Coralhelm,1569,0.7395,1.0,0.818,0.59,0.65,1.0,0.6947,etb_synergy|landfall|enchantment_synergy,"Rôles utiles pour la stratégie : landfall, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1738) | Mana value cohérente (3.0)",v3
add,Courser of Kruphix,1557,0.625,1.0,0.8174,0.71,0.65,1.0,0.6375,etb_synergy|lifegain|landfall|enchantment_synergy,"Rôles utiles pour la stratégie : landfall, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1182) | Mana value cohérente (3.0)",v3
add,Fabled Passage,1547,0.8432,1.0,0.7877,0.26,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 54)",v3
add,"Moraug, Fury of Akoum",1539,0.7537,1.0,0.8193,0.57,0.65,0.5,0.7019,etb_synergy|anthem|landfall,"Rôles utiles pour la stratégie : landfall, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1007)",v3
add,Simic Growth Chamber,1538,0.8077,1.0,0.783,0.37,0.85,0.75,0.9117,ramp|etb_synergy,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 281)",v3
add,"Nissa, Resurgent Animist",1533,0.6778,1.0,0.8204,0.71,0.4,1.0,0.5928,ramp|etb_synergy|tribal_synergy|landfall,"Rôles utiles pour la stratégie : landfall, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Mana value cohérente (3.0)",v3
add,"Titania, Protector of Argoth",1530,0.7373,1.0,0.7898,0.54,0.65,0.8,0.763,etb_synergy|token_generation|graveyard_synergy|recursion,"Rôles utiles pour la stratégie : etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 1100) | Mana value cohérente (5.0)",v3
add,Verdant Catacombs,1527,0.8301,1.0,0.7685,0.24,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 47)",v3
add,Cultivate,1524,0.8166,1.0,0.8002,0.19,1.0,1.0,0.9991,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 20) | Mana value cohérente (3.0)",v3
add,Polluted Delta,1520,0.8182,1.0,0.7671,0.24,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 37)",v3
add,Marsh Flats,1520,0.8151,1.0,0.7711,0.24,1.0,0.75,0.9983,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 50)",v3
add,Gruul Turf,1519,0.7722,1.0,0.7804,0.37,0.85,0.75,0.8922,ramp|etb_synergy,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 413)",v3
