"Section","Card Name","Score","Support","Deck Frequency","Vector Score","Synergy","EDHREC","Mana Curve","Quality","Roles","Reason","Algorithm"
"Commander","Orah, Skyclave Hierophant","","","","","","","","","","","v3"
"add","Victimize","1500","0.8062","1.0","0.7939","0.24","0.85","1.0","0.8281","graveyard_synergy|sacrifice_synergy|recursion","Rôles utiles pour la stratégie : graveyard_synergy, recursion, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy, recursion, graveyard_synergy | Très bien classé EDHREC (rank 127) | Mana value cohérente (3.0)","v3"
"add","Bojuka Bog","1488","0.811","1.0","0.7378","0.19","1.0","0.75","0.996","ramp|etb_synergy|graveyard_synergy","Rôles utiles pour la stratégie : ramp, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : graveyard_synergy | Très bien classé EDHREC (rank 25)","v3"
"add","Doomed Necromancer","1486","0.9252","1.0","0.8018","0.29","0.4","1.0","0.6626","tribal_synergy|graveyard_synergy|recursion","Rôles utiles pour la stratégie : recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy | Mana value cohérente (3.0)","v3"
"add","Priest of Forgotten Gods","1477","0.8901","1.0","0.7721","0.19","0.65","1.0","0.847","ramp|card_draw|tribal_synergy|sacrifice_synergy","Rôles utiles pour la stratégie : ramp, card_draw, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 1428) | Mana value cohérente (2.0)","v3"
"add","Village Rites","1465","0.8238","1.0","0.751","0.19","0.85","0.75","0.9206","card_draw|sacrifice_synergy","Rôles utiles pour la stratégie : card_draw, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 194)","v3"
"add","Ashnod's Altar","1463","0.8233","1.0","0.7628","0.14","0.85","1.0","0.9203","ramp|sacrifice_synergy|artifact_synergy","Rôles utiles pour la stratégie : ramp, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 131) | Mana value cohérente (3.0)","v3"
"add","Ayli, Eternal Pilgrim","1448","0.9264","1.0","0.7976","0.19","0.4","1.0","0.7295","targeted_removal|sacrifice_synergy|lifegain","Rôles utiles pour la stratégie : lifegain, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Mana value cohérente (2.0)","v3"
"add","Cleric Class","1446","0.7567","1.0","0.8197","0.29","0.65","0.75","0.7737","ramp|counter_synergy|graveyard_synergy|lifegain|enchantment_synergy|recursion","Rôles utiles pour la stratégie : lifegain, ramp, recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy | Très bien classé EDHREC (rank 1479)","v3"
"add","Yawgmoth, Thran Physician","1437","0.8344","1.0","0.7785","0.19","0.65","0.8","0.8164","card_draw|protection|tribal_synergy|sacrifice_synergy","Rôles utiles pour la stratégie : card_draw, protection, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 813) | Mana value cohérente (4.0)","v3"
"add","Whisper, Blood Liturgist","1433","0.8469","1.0","0.8035","0.29","0.4","0.8","0.6234","tribal_synergy|graveyard_synergy|recursion","Rôles utiles pour la stratégie : recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy | Mana value cohérente (4.0)","v3"
"add","Phyrexian Altar","1426","0.7142","1.0","0.7615","0.19","0.85","1.0","0.8603","ramp|sacrifice_synergy|artifact_synergy","Rôles utiles pour la stratégie : ramp, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 309) | Mana value cohérente (3.0)","v3"
"add","High Market","1425","0.781","1.0","0.768","0.14","0.85","0.75","0.8155","sacrifice_synergy|lifegain","Rôles utiles pour la stratégie : lifegain, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 468)","v3"
"add","Drana, the Last Bloodchief","1424","0.7968","1.0","0.7919","0.34","0.4","0.8","0.5984","counter_synergy|tribal_synergy|graveyard_synergy|recursion","Rôles utiles pour la stratégie : recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy | Mana value cohérente (5.0)","v3"
"add","Deadly Dispute","1423","0.6704","1.0","0.7599","0.24","0.85","1.0","0.8362","ramp|card_draw|token_generation|sacrifice_synergy","Rôles utiles pour la stratégie : ramp, card_draw, sacrifice_synergy, token_generation | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 128) | Mana value cohérente (2.0)","v3"
"add","Smothering Tithe","1411","0.727","1.0","0.7383","0.1","1.0","0.8","0.9498","ramp|token_generation|artifact_synergy|enchantment_synergy","Rôles utiles pour la stratégie : ramp, token_generation | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 60) | Mana value cohérente (4.0)","v3"
"add","Animate Dead","1403","0.6143","1.0","0.8025","0.24","0.85","1.0","0.7322","etb_synergy|graveyard_synergy|enchantment_synergy|recursion|voltron_only","Rôles utiles pour la stratégie : recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy | Très bien classé EDHREC (rank 224) | Mana value cohérente (2.0)","v3"
"add","Phyrexian Tower","1399","0.7376","1.0","0.7475","0.14","0.85","0.75","0.8732","ramp|sacrifice_synergy","Rôles utiles pour la stratégie : ramp, sacrifice_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : sacrifice_synergy | Très bien classé EDHREC (rank 199)","v3"
"add","Vito, Thorn of the Dusk Rose","1398","0.9408","0.75","0.7544","0.15","0.85","1.0","0.8954","tribal_synergy|lifegain","Rôles utiles pour la stratégie : lifegain | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 487) | Mana value cohérente (3.0)","v3"
"add","Arcane Signet","1393","0.9473","0.75","0.7471","0.05","1.0","1.0","1.0","ramp|artifact_synergy","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 3) | Mana value cohérente (2.0)","v3"
"add","Sister Hospitaller","1393","0.7361","1.0","0.7869","0.39","0.4","0.5","0.568","etb_synergy|tribal_synergy|graveyard_synergy|lifegain|recursion","Rôles utiles pour la stratégie : lifegain, recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Remplit/exploite le cimetiere : recursion, graveyard_synergy","v3"
"remove","Amalia Benavides Aguirre","","","","","","","","","","Support decklists : 0","v3"
"remove","Archivist Of Oghma","","","","","","","","","","Support decklists : 0","v3"
"remove","Attended Healer","","","","","","","","","","Support decklists : 0","v3"
"remove","Bartolome Del Presidio","","","","","","","","","","Support decklists : 0","v3"
"remove","Bishop Of Rebirth","","","","","","","","","","Support decklists : 0","v3"
"remove","Cleric Of Life'S Bond","","","","","","","","","","Support decklists : 0","v3"
"remove","Command Tower","","","","","","","","","","Support decklists : 0","v3"
"remove","Containment Priest","","","","","","","","","","Support decklists : 0","v3"
"remove","Corpse Knight","","","","","","","","","","Support decklists : 0","v3"
"remove","Dawnbringer Cleric","","","","","","","","","","Support decklists : 0","v3"
"remove","Demon'S Disciple","","","","","","","","","","Support decklists : 0","v3"
"remove","Dream Devourer","","","","","","","","","","Support decklists : 0","v3"
