"Section","Card Name","Score","Support","Deck Frequency","Vector Score","Synergy","EDHREC","Mana Curve","Quality","Roles","Reason","Algorithm"
"Commander","Selvala, Heart of the Wilds","","","","","","","","","","","v3"
"add","Garruk, Primal Hunter","1595","0.879","1.0","0.7877","0.52","0.65","0.8","0.8409","card_draw|token_generation","Rôles utiles pour la stratégie : token_generation, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : token_generation | Très bien classé EDHREC (rank 1950) | Mana value cohérente (5.0)","v3"
"add","Chrome Mox","1575","0.7859","1.0","0.7833","0.49","0.85","0.75","0.8998","ramp|etb_synergy|artifact_synergy","Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 142)","v3"
"add","Fierce Empath","1568","0.8479","1.0","0.8031","0.59","0.4","1.0","0.6864","etb_synergy|tribal_synergy|tutor","Rôles utiles pour la stratégie : tutor, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Mana value cohérente (3.0)","v3"
"add","Kogla, the Titan Ape","1562","0.9374","1.0","0.7945","0.4","0.65","0.5","0.873","etb_synergy|targeted_removal|protection|blink|tribal_synergy|artifact_synergy|enchantment_synergy","Rôles utiles pour la stratégie : blink, etb_synergy, protection | Bonne présence dans les decklists similaires | Synergise avec les ETB : blink, etb_synergy | Très bien classé EDHREC (rank 1179)","v3"
"add","The Great Henge","1550","0.708","1.0","0.825","0.52","0.85","0.6","0.8569","ramp|card_draw|etb_synergy|counter_synergy|lifegain|artifact_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 237)","v3"
"add","Cavern of Souls","1536","0.7646","1.0","0.7849","0.42","0.85","0.75","0.888","ramp|etb_synergy","Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 112)","v3"
"add","Woodland Bellower","1535","0.8735","1.0","0.7945","0.54","0.4","0.6","0.7005","etb_synergy|tutor","Rôles utiles pour la stratégie : tutor, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy","v3"
"add","Regal Force","1513","0.8675","1.0","0.8233","0.47","0.4","0.6","0.6971","card_draw|etb_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy","v3"
"add","Utopia Sprawl","1510","0.8823","0.75","0.7877","0.52","0.85","0.75","0.8661","etb_synergy|enchantment_synergy","Rôles utiles pour la stratégie : etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 341)","v3"
"add","Guardian Project","1505","0.6051","1.0","0.8141","0.52","0.85","0.8","0.8003","card_draw|etb_synergy|enchantment_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 307) | Mana value cohérente (4.0)","v3"
"add","Finale of Devastation","1464","0.9233","0.75","0.8091","0.29","0.85","1.0","0.9753","anthem|tutor","Rôles utiles pour la stratégie : tutor | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 327) | Mana value cohérente (2.0)","v3"
"add","Veil of Summer","1446","0.8976","1.0","0.8011","0.12","0.65","0.75","0.8512","card_draw|protection","Rôles utiles pour la stratégie : card_draw, protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 557)","v3"
"add","Wild Growth","1444","0.9206","0.75","0.8214","0.27","0.85","0.75","0.9738","ramp|enchantment_synergy","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 210)","v3"
"add","Elemental Bond","1427","0.4719","1.0","0.8269","0.57","0.65","1.0","0.6171","card_draw|etb_synergy|enchantment_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 567) | Mana value cohérente (3.0)","v3"
"add","Soul of the Harvest","1422","0.5542","1.0","0.8139","0.52","0.65","0.6","0.6623","card_draw|etb_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1585)","v3"
"add","Chord of Calling","1415","0.9091","0.75","0.8186","0.29","0.65","1.0","0.8575","tutor","Rôles utiles pour la stratégie : tutor | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 535) | Mana value cohérente (3.0)","v3"
"add","Birds of Paradise","1407","0.8949","0.75","0.771","0.17","1.0","0.75","1.0","ramp","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 33)","v3"
"add","Terastodon","1400","0.6736","1.0","0.7624","0.4","0.65","0.25","0.728","etb_synergy|token_generation","Rôles utiles pour la stratégie : token_generation, etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : token_generation, etb_synergy | Très bien classé EDHREC (rank 1310)","v3"
"add","Llanowar Elves","1394","0.9755","0.75","0.7548","0.05","1.0","0.75","1.0","ramp|tribal_synergy","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 62)","v3"
"add","Craterhoof Behemoth","1394","0.7646","0.75","0.7968","0.45","0.85","0.25","0.8073","etb_synergy","Rôles utiles pour la stratégie : etb_synergy | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 332)","v3"
"remove","Lovestruck Beast","","","","","","","","","","Présent dans 0 deck(s) des decklists similaires","v3"
"remove","Shapers' Sanctuary","","","","","","","","","","Présent dans 0 deck(s) des decklists similaires","v3"
"remove","Tovolar'S Huntmaster","","","","","","","","","","Présent dans 0 deck(s) des decklists similaires","v3"
"remove","Feral Encounter","","","","","","","","","","Présent dans 0 deck(s) des decklists similaires","v3"
"remove","Mishra'S Factory","","","","","","","","","","Présent dans 0 deck(s) des decklists similaires","v3"
"remove","Dodgy Jalopy","","0.0011","0.0011","","","","","","","Présent dans 0.1% des decklists similaires","v3"
"remove","Bristlebud Farmer","","0.0011","0.0011","","","","","","","Présent dans 0.1% des decklists similaires","v3"
"remove","Feasting Troll King","","0.0011","0.0011","","","","","","","Présent dans 0.1% des decklists similaires","v3"
"remove","Quirion Beastcaller","","0.0011","0.0011","","","","","","","Présent dans 0.1% des decklists similaires","v3"
"remove","Froghemoth","","0.0034","0.0034","","","","","","","Présent dans 0.3% des decklists similaires","v3"
"remove","Crawling Barrens","","0.0034","0.0034","","","","","","","Présent dans 0.3% des decklists similaires","v3"
"remove","Garruk's Harbinger","","0.0057","0.0057","","","","","","","Présent dans 0.6% des decklists similaires","v3"
"remove","Ochre Jelly","","0.0057","0.0057","","","","","","","Présent dans 0.6% des decklists similaires","v3"
"remove","Treetop Village","","0.0068","0.0068","","","","","","","Présent dans 0.7% des decklists similaires","v3"
"remove","Tranquil Frillback","","0.0068","0.0068","","","","","","","Présent dans 0.7% des decklists similaires","v3"
"remove","Nature's Will","","0.0068","0.0068","","","","","","","Présent dans 0.7% des decklists similaires","v3"
