"Section","Card Name","Score","Support","Deck Frequency","Vector Score","Synergy","EDHREC","Mana Curve","Quality","Roles","Reason","Algorithm"
"Commander","Shadowfax, Lord of Horses","","","","","","","","","","","v3"
"add","Commander's Sphere","1636","0.778","1.0","0.7737","0.54","1.0","1.0","0.9779","ramp|card_draw|artifact_synergy","Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 45) | Mana value cohérente (3.0)","v3"
"add","Vanquisher's Banner","1588","0.6958","1.0","0.7734","0.64","0.85","0.8","0.8502","card_draw|etb_synergy|artifact_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 350) | Mana value cohérente (5.0)","v3"
"add","Loran of the Third Path","1563","0.6252","1.0","0.7734","0.64","0.85","1.0","0.8113","card_draw|etb_synergy|tribal_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Pioche (alimente la main en creatures) | Vigilance (attaque sans se tapper) | Donne vigilance | Source de pioche | Très bien classé EDHREC (rank 353) | Mana value cohérente (3.0)","v3"
"add","Thundermare","1525","0.8628","0.75","0.811","0.96","0.2","0.5","0.5314","etb_synergy","Rôles utiles pour la stratégie : etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Donne haste (support d'attaque) | Donne haste au commandant | Grosse creature a fort impact (MV=6)","v3"
"add","Karmic Guide","1516","0.5686","1.0","0.7654","0.743","0.65","0.8","0.6702","etb_synergy|protection|tribal_synergy|graveyard_synergy|recursion","Rôles utiles pour la stratégie : etb_synergy, protection | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Support combat : protection | Très bien classé EDHREC (rank 932) | Mana value cohérente (5.0)","v3"
"add","Adaptive Automaton","1511","0.7388","1.0","0.7552","0.485","0.65","1.0","0.7638","ramp|etb_synergy|artifact_synergy","Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Puissance variable (compatible) | Très bien classé EDHREC (rank 1743) | Mana value cohérente (3.0)","v3"
"add","Loyal Warhound","1488","0.3583","1.0","0.7879","0.9","0.65","1.0","0.5546","ramp|etb_synergy|tutor","Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Tuteur (chercher les creatures) | Vigilance (attaque sans se tapper) | Donne vigilance | Très bien classé EDHREC (rank 1576) | Mana value cohérente (2.0)","v3"
"add","Metallic Mimic","1483","0.6838","1.0","0.7598","0.485","0.65","1.0","0.7336","ramp|etb_synergy|counter_synergy|artifact_synergy","Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Puissance variable (compatible) | Très bien classé EDHREC (rank 1083) | Mana value cohérente (2.0)","v3"
"add","Boros Charm","1481","0.8655","0.75","0.7671","0.438","0.85","1.0","0.9435","protection","Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Support combat : protection | Très bien classé EDHREC (rank 175) | Mana value cohérente (2.0)","v3"
"add","Iroas, God of Victory","1466","0.7928","0.75","0.7321","0.663","0.65","0.8","0.7935","protection|enchantment_synergy","Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Support combat : protection | Très bien classé EDHREC (rank 1475) | Mana value cohérente (4.0)","v3"
"add","Big Score","1459","0.5015","1.0","0.7494","0.59","0.85","0.8","0.7433","ramp|card_draw|token_generation","Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 161) | Mana value cohérente (4.0)","v3"
"add","Your Temple Is Under Attack","1458","0.5597","1.0","0.7655","0.718","0.4","1.0","0.5278","card_draw|protection","Rôles utiles pour la stratégie : card_draw, protection | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Support combat : protection | Source de pioche | Mana value cohérente (3.0)","v3"
"add","Claim Jumper","1451","0.2882","1.0","0.7862","0.9","0.65","1.0","0.516","ramp|etb_synergy|tutor","Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Tuteur (chercher les creatures) | Vigilance (attaque sans se tapper) | Donne vigilance | Très bien classé EDHREC (rank 1779) | Mana value cohérente (3.0)","v3"
"add","Rumor Gatherer","1449","0.4352","1.0","0.7704","0.715","0.65","1.0","0.5969","card_draw|etb_synergy|tribal_synergy","Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 1438) | Mana value cohérente (3.0)","v3"
"add","Firemane Commando","1446","0.5523","0.75","0.8026","0.875","0.65","0.8","0.6612","card_draw|tribal_synergy","Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 1863) | Mana value cohérente (4.0)","v3"
"add","Path of Ancestry","1446","0.8207","0.75","0.7843","0.35","1.0","0.75","1.0","ramp","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 14)","v3"
"add","Temple of Triumph","1443","0.7826","1.0","0.7507","0.19","0.85","0.75","0.898","ramp|etb_synergy","Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 286)","v3"
"add","Aurelia, the Law Above","1442","0.5386","0.75","0.7784","0.9","0.65","0.8","0.6538","card_draw|boardwipe|tribal_synergy|lifegain","Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Pioche (alimente la main en creatures) | Donne haste (support d'attaque) | Donne haste au commandant | Source de pioche | Très bien classé EDHREC (rank 1730) | Mana value cohérente (5.0)","v3"
"add","Guardian Sunmare","1441","0.6382","0.75","0.8194","0.875","0.4","0.8","0.571","ramp|tutor","Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Puissance variable (compatible) | Tuteur (chercher les creatures) | Mana value cohérente (5.0)","v3"
"add","Patchwork Banner","1441","0.6588","1.0","0.76","0.3","0.85","1.0","0.8298","ramp|etb_synergy|artifact_synergy","Rôles utiles pour la stratégie : ramp, etb_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 234) | Mana value cohérente (3.0)","v3"
"remove","Adept Watershaper","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Akroma'S Will","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Angel Of Destiny","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Anim Pakal, Thousandth Moon","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Arcane Signet","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Archon Of Emeria","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Arid Mesa","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Aurelia, Exemplar Of Justice","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Aurelia, The Warleader","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Baldin, Century Herdmaster","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Balefire Liege","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Bastion Protector","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Battlefield Forge","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Blackblade Reforged","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Blade Historian","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Boros Garrison","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Boros Signet","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Castle Embereth","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Champion'S Helm","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
"remove","Clifftop Retreat","","","","","","","","","","Présent dans 0% des decklists similaires (support : 0)","v3"
