"Section","Card Name","Score","Support","Deck Frequency","Vector Score","Synergy","EDHREC","Mana Curve","Quality","Roles","Reason","Algorithm"
"Commander","Zimone and Dina","","","","","","","","","","","v3"
"add","Tatyova, Benthic Druid","1769","0.9236","1.0","0.7658","0.8","0.85","0.8","0.9755","card_draw|etb_synergy|tribal_synergy|lifegain|landfall","Rôles utiles pour la stratégie : lifegain, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 457) | Mana value cohérente (5.0)","v3"
"add","Tireless Provisioner","1680","0.8833","1.0","0.7541","0.61","0.85","1.0","0.9533","ramp|etb_synergy|token_generation|tribal_synergy|lifegain|landfall|artifact_synergy","Rôles utiles pour la stratégie : token_generation, lifegain, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Cree des tokens sacrifiables | Très bien classé EDHREC (rank 180) | Mana value cohérente (3.0)","v3"
"add","Arcane Denial","1669","0.7408","1.0","0.8009","0.65","1.0","1.0","0.9574","card_draw|counterspell","Rôles utiles pour la stratégie : counterspell, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 56) | Mana value cohérente (2.0)","v3"
"add","Solemn Simulacrum","1666","0.7446","1.0","0.7832","0.68","1.0","0.8","0.9595","ramp|card_draw|etb_synergy|artifact_synergy|tutor","Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 38) | Mana value cohérente (4.0)","v3"
"add","Zagoth Triome","1641","0.8541","1.0","0.7645","0.58","0.85","0.75","0.9372","ramp|card_draw","Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 400)","v3"
"add","Black Market Connections","1613","0.5055","1.0","0.8009","0.9","0.85","1.0","0.7455","card_draw|token_generation|tribal_synergy|enchantment_synergy","Rôles utiles pour la stratégie : token_generation, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Cree des tokens sacrifiables | Très bien classé EDHREC (rank 133) | Mana value cohérente (3.0)","v3"
"add","Growth Spiral","1599","0.8372","0.75","0.7931","0.75","0.85","1.0","0.9279","card_draw","Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 225) | Mana value cohérente (2.0)","v3"
"add","Sheoldred, the Apocalypse","1585","0.5911","1.0","0.7997","0.75","0.85","0.8","0.7926","card_draw|lifegain","Rôles utiles pour la stratégie : lifegain, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 463) | Mana value cohérente (4.0)","v3"
"add","Ethereal Investigator","1585","0.6522","1.0","0.7722","0.94","0.4","0.8","0.5787","card_draw|etb_synergy|token_generation|artifact_synergy","Rôles utiles pour la stratégie : token_generation, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Cree des tokens sacrifiables | Mana value cohérente (4.0)","v3"
