Section,Card Name,Score,Support,Deck Frequency
Commander,"Eluge, the Shoreless Sea",,,

Additions,,,,
add,Mystic Sanctuary,1958,,
add,Arcane Signet,1854,,
add,Reliquary Tower,1823,,
add,High Tide,1594,,
add,Frantic Search,1404,,
add,Essence Flux,1364,,
add,Displacer Kitten,1355,,
add,Blur,1325,,
add,Pull from Tomorrow,1324,,
add,The Flood of Mars,1303,,
add,Pongify,1260,,
add,Sink into Stupor,1251,,
add,Blue Sun's Zenith,1247,,
add,Rogue's Passage,1231,,
add,Ghostly Flicker,1229,,
add,Mystic Confluence,1218,,
add,Cryptic Command,1157,,
add,Rapid Hybridization,1126,,
add,Aquitect's Will,1029,,
add,Spectral Deluge,987,,

Removals,,,,
remove,Renegade Doppelganger,,2,4
remove,Steamcore Scholar,,4,6
remove,Abhorrent Oculus,,4,46
remove,Compulsive Research,,20,56
remove,Gifts Ungiven,,20,74
remove,Demilich,,23,27
remove,Malevolent Hermit,,30,91
remove,Ertai's Scorn,,39,73
remove,Thundertrap Trainer,,48,51
remove,Shadowspear,,59,595
remove,Roaming Throne,,63,1797
remove,Search for Azcanta,,78,115
remove,Pact of Negation,,99,653
remove,Hall of Storm Giants,,111,202
remove,Tyrite Sanctum,,119,916
remove,Ledger Shredder,,124,424
remove,Shore Up,,136,222
remove,Refute,,148,179
remove,Jwari Disruption,,180,288
remove,Time Stop,,185,192
